Globalstar PE Ratio Historical Data,Globalstar PE Ratio Historical Data,Globalstar PE Ratio Historical Data,Globalstar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.62,,0.0
2024-12-31,2.07,$-0.72,0.0
2024-09-30,1.24,$-0.45,0.0
2024-06-30,1.12,$-0.45,0.0
2024-03-31,1.47,$-0.30,0.0
2023-12-31,1.94,$-0.15,0.0
2023-09-30,1.31,0,0.0
2023-06-30,1.08,$-1.65,0.0
2023-03-31,1.16,$-1.80,0.0
2022-12-31,1.33,$-1.95,0.0
2022-09-30,1.59,$-2.10,0.0
2022-06-30,1.23,$-0.75,0.0
2022-03-31,1.47,$-0.75,0.0
2021-12-31,1.16,$-0.90,0.0
2021-09-30,1.67,$-0.90,0.0
2021-06-30,1.78,$-0.75,0.0
2021-03-31,1.35,$-0.75,0.0
2020-12-31,0.34,$-0.75,0.0
2020-09-30,0.31,$-1.05,0.0
2020-06-30,0.33,$-1.05,0.0
2020-03-31,0.29,$-0.75,0.0
2019-12-31,0.52,$-0.15,0.0
2019-09-30,0.41,$-0.75,0.0
2019-06-30,0.48,$-0.45,0.0
2019-03-31,0.43,$-0.75,0.0
2018-12-31,0.64,$-0.15,0.0
2018-09-30,0.51,$0.60,0.85
2018-06-30,0.49,$1.05,0.47
2018-03-31,0.69,$-0.15,0.0
2017-12-31,1.31,$-1.35,0.0
2017-09-30,1.63,$-2.70,0.0
2017-06-30,2.13,$-3.30,0.0
2017-03-31,1.6,$-1.80,0.0
2016-12-31,1.58,$-1.95,0.0
2016-09-30,1.21,$-0.75,0.0
2016-06-30,1.21,$-0.45,0.0
2016-03-31,1.47,$1.95,0.75
2015-12-31,1.44,$0.45,3.2
2015-09-30,1.57,$2.10,0.75
2015-06-30,2.11,$3.45,0.61
2015-03-31,3.33,$-6.30,0.0
