Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,128.82,,26.08
2024-12-31,113.93,$4.94,23.06
2024-09-30,130.31,$7.79,16.73
2024-06-30,138.74,$11.66,11.9
2024-03-31,159.28,$13.00,12.25
2023-12-31,128.89,$15.47,8.33
2023-09-30,115.25,$16.58,6.95
2023-06-30,90.65,$23.05,3.93
2023-03-31,95.3,$25.86,3.69
2022-12-31,96.82,$22.95,4.22
2022-09-30,74.42,$21.86,3.4
2022-06-30,74.78,$11.61,6.44
2022-03-31,77.99,$5.74,13.59
2021-12-31,64.71,$2.96,21.86
2021-09-30,61.8,$-1.15,0.0
2021-06-30,74.78,$-3.88,0.0
2021-03-31,70.3,$-4.87,0.0
2020-12-31,59.64,$-9.04,0.0
2020-09-30,43.58,$-6.17,0.0
2020-06-30,59.59,$-2.77,0.0
2020-03-31,43.91,$0.68,64.57
2019-12-31,90.27,$6.78,13.31
2019-09-30,82.34,$9.96,8.27
2019-06-30,74.54,$11.56,6.45
2019-03-31,75.04,$11.28,6.65
2018-12-31,67.37,$11.91,5.66
2018-09-30,87.42,$13.34,6.55
2018-06-30,86.5,$11.76,7.36
2018-03-31,73.39,$9.98,7.35
2017-12-31,76.81,$9.93,7.74
2017-09-30,69.04,$3.99,17.3
2017-06-30,61.8,$3.35,18.45
2017-03-31,58.68,$3.22,18.22
2016-12-31,63.5,$2.92,21.75
2016-09-30,58.75,$3.81,15.42
2016-06-30,57.4,$5.75,9.98
2016-03-31,62.15,$6.66,9.33
2015-12-31,58.27,$7.73,7.54
2015-09-30,54.4,$8.58,6.34
2015-06-30,56.65,$7.77,7.29
2015-03-31,54.9,$7.44,7.38
2014-12-31,49.75,$8.32,5.98
2014-09-30,56.03,$7.64,7.33
2014-06-30,55.09,$6.42,8.58
2014-03-31,52.47,$6.44,8.15
2013-12-31,52.24,$6.00,8.71
2013-09-30,38.93,$5.74,6.78
2013-06-30,39.45,$7.38,5.35
2013-03-31,46.63,$7.71,6.05
