SCWorx PE Ratio Historical Data,SCWorx PE Ratio Historical Data,SCWorx PE Ratio Historical Data,SCWorx PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.72,,0.0
2024-09-30,1.18,$-0.67,0.0
2024-06-30,1.7,$-0.45,0.0
2024-03-31,3.01,$-0.34,0.0
2023-12-31,1.84,$-0.65,0.0
2023-09-30,3.01,$-0.95,0.0
2023-06-30,6.0,$-1.35,0.0
2023-03-31,5.25,$-1.95,0.0
2022-12-31,5.94,$-2.40,0.0
2022-09-30,10.65,$-2.10,0.0
2022-06-30,9.75,$-3.00,0.0
2022-03-31,16.8,$-4.05,0.0
2021-12-31,19.35,$-4.20,0.0
2021-09-30,32.25,$-4.20,0.0
2021-06-30,26.1,$-9.15,0.0
2021-03-31,29.7,$-13.49,0.0
2020-12-31,20.25,$-14.69,0.0
2020-09-30,22.73,$-19.49,0.0
2020-06-30,86.33,$-14.69,0.0
2020-03-31,33.75,$-14.24,0.0
2019-12-31,43.05,$-31.03,0.0
2019-09-30,36.0,$-26.24,0.0
2019-06-30,88.95,$-47.54,0.0
2019-03-31,107.1,$-198.66,0.0
2018-12-31,46.14,$-267.93,0.0
2018-09-30,75.95,$-376.18,0.0
2018-06-30,94.73,$-418.89,0.0
2018-03-31,129.68,$-330.44,0.0
2017-12-31,330.6,$-313.34,0.0
2017-09-30,625.92,$-205.10,0.0
