AllianceBernstein Holding PE Ratio Historical Data,AllianceBernstein Holding PE Ratio Historical Data,AllianceBernstein Holding PE Ratio Historical Data,AllianceBernstein Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.12,,10.25
2024-12-31,37.09,$3.72,9.97
2024-09-30,34.16,$3.49,9.79
2024-06-30,32.36,$2.87,11.28
2024-03-31,32.56,$2.41,13.51
2023-12-31,28.41,$2.33,12.19
2023-09-30,27.16,$2.21,12.29
2023-06-30,28.24,$2.27,12.44
2023-03-31,31.49,$2.43,12.96
2022-12-31,29.1,$2.71,10.74
2022-09-30,29.17,$3.39,8.61
2022-06-30,34.05,$3.72,9.15
2022-03-31,37.65,$3.94,9.56
2021-12-31,38.02,$3.88,9.8
2021-09-30,38.0,$3.58,10.61
2021-06-30,35.05,$3.39,10.34
2021-03-31,29.56,$3.07,9.63
2020-12-31,24.33,$2.89,8.42
2020-09-30,19.03,$2.76,6.89
2020-06-30,18.77,$2.68,7.0
2020-03-31,12.46,$2.63,4.74
2019-12-31,19.78,$2.49,7.95
2019-09-30,18.78,$2.28,8.24
2019-06-30,18.66,$2.34,7.97
2019-03-31,18.13,$2.39,7.59
2018-12-31,16.79,$2.50,6.71
2018-09-30,18.27,$2.71,6.74
2018-06-30,16.76,$2.49,6.73
2018-03-31,15.34,$2.33,6.58
2017-12-31,13.88,$2.19,6.34
2017-09-30,13.2,$2.12,6.23
2017-06-30,12.6,$2.18,5.78
2017-03-31,11.9,$2.16,5.51
2016-12-31,11.88,$2.26,5.26
2016-09-30,11.31,$2.02,5.6
2016-06-30,11.35,$1.93,5.88
2016-03-31,11.21,$2.00,5.61
2015-12-31,11.12,$1.89,5.88
2015-09-30,12.2,$1.95,6.26
2015-06-30,13.31,$1.97,6.76
2015-03-31,13.72,$1.93,7.11
2014-12-31,11.24,$1.86,6.04
2014-09-30,11.13,$1.89,5.89
2014-06-30,10.88,$1.76,6.18
2014-03-31,10.33,$1.72,6.01
2013-12-31,8.61,$1.72,5.01
2013-09-30,7.88,$1.36,5.79
2013-06-30,8.11,$0.81,10.01
2013-03-31,8.4,$0.62,13.55
2012-12-31,6.57,$0.50,13.13
2012-09-30,5.68,$-1.73,0.0
2012-06-30,4.6,$-1.24,0.0
2012-03-31,5.56,$-1.11,0.0
2011-12-31,4.62,$-0.95,0.0
2011-09-30,4.73,$1.44,3.28
2011-06-30,6.58,$1.30,5.06
2011-03-31,7.24,$1.27,5.7
2010-12-31,7.61,$1.31,5.81
2010-09-30,8.57,$1.51,5.68
2010-06-30,8.29,$2.06,4.03
2010-03-31,9.69,$2.16,4.49
2009-12-31,8.68,$1.77,4.9
