Yum! Brands PE Ratio Historical Data,Yum! Brands PE Ratio Historical Data,Yum! Brands PE Ratio Historical Data,Yum! Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,157.89,,30.25
2024-12-31,134.16,$5.22,25.7
2024-09-30,139.04,$5.35,25.99
2024-06-30,131.17,$5.46,24.02
2024-03-31,136.64,$5.64,24.23
2023-12-31,128.12,$5.59,22.92
2023-09-30,121.93,$5.26,23.18
2023-06-30,134.59,$4.94,27.24
2023-03-31,127.71,$4.25,30.05
2022-12-31,123.27,$4.56,27.03
2022-09-30,101.88,$4.38,23.26
2022-06-30,108.2,$4.99,21.68
2022-03-31,112.45,$5.51,20.41
2021-12-31,131.13,$5.22,25.12
2021-09-30,115.04,$5.19,22.17
2021-06-30,107.79,$4.36,24.72
2021-03-31,100.95,$3.74,26.99
2020-12-31,100.82,$2.94,34.29
2020-09-30,84.42,$3.44,24.54
2020-06-30,79.98,$3.33,24.02
2020-03-31,62.74,$3.58,17.52
2019-12-31,91.8,$4.14,22.18
2019-09-30,102.94,$3.60,28.59
2019-06-30,100.07,$4.19,23.88
2019-03-31,89.87,$4.24,21.2
2018-12-31,82.4,$4.68,17.61
2018-09-30,81.16,$4.90,16.56
2018-06-30,69.53,$4.68,14.86
2018-03-31,75.35,$4.29,17.56
2017-12-31,71.9,$3.79,18.97
2017-09-30,64.61,$3.24,19.94
2017-06-30,64.48,$3.62,17.81
2017-03-31,55.6,$3.85,14.44
2016-12-31,54.85,$4.01,13.68
2016-09-30,56.09,$3.93,14.27
2016-06-30,50.94,$3.32,15.34
2016-03-31,50.01,$3.04,16.45
2015-12-31,44.33,$2.92,15.18
2015-09-30,48.2,$2.09,23.06
2015-06-30,54.06,$2.03,26.63
2015-03-31,46.99,$2.23,21.07
2014-12-31,43.24,$2.29,18.88
2014-09-30,42.47,$3.19,13.31
2014-06-30,47.7,$2.63,18.14
2014-03-31,44.07,$2.51,17.56
2013-12-31,43.98,$2.36,18.63
2013-09-30,41.29,$2.38,17.35
2013-06-30,39.92,$3.05,13.09
2013-03-31,41.21,$3.13,13.17
2012-12-31,37.84,$3.37,11.23
2012-09-30,37.63,$3.40,11.07
2012-06-30,36.37,$3.20,11.37
2012-03-31,40.03,$3.16,12.67
2011-12-31,33.03,$2.74,12.05
2011-09-30,27.49,$2.55,10.78
2011-06-30,30.61,$2.49,12.29
2011-03-31,28.33,$2.43,11.66
2010-12-31,26.91,$2.39,11.26
2010-09-30,25.14,$2.28,11.03
2010-06-30,21.2,$2.23,9.51
2010-03-31,20.71,$2.27,9.12
2009-12-31,18.78,$2.23,8.42
