Donegal PE Ratio Historical Data,Donegal PE Ratio Historical Data,Donegal PE Ratio Historical Data,Donegal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.4,,22.44
2024-12-31,15.47,$0.82,18.87
2024-09-30,14.57,$0.76,19.18
2024-06-30,12.58,$0.23,54.7
2024-03-31,13.63,$0.16,85.22
2023-12-31,13.34,$0.14,95.28
2023-09-30,13.43,$0.31,43.32
2023-06-30,13.44,$-0.00,0.0
2023-03-31,14.06,$-0.32,0.0
2022-12-31,12.93,$-0.05,0.0
2022-09-30,12.14,$0.01,0.0
2022-06-30,15.17,$0.12,126.42
2022-03-31,11.79,$0.91,12.95
2021-12-31,12.42,$0.83,14.97
2021-09-30,12.46,$1.15,10.83
2021-06-30,12.4,$1.78,6.96
2021-03-31,12.51,$2.04,6.13
2020-12-31,11.72,$1.82,6.44
2020-09-30,11.6,$1.83,6.34
2020-06-30,11.6,$1.60,7.25
2020-03-31,12.27,$0.98,12.52
2019-12-31,11.84,$1.68,7.05
2019-09-30,11.6,$0.64,18.12
2019-06-30,11.96,$0.50,23.93
2019-03-31,10.43,$0.30,34.76
2018-12-31,10.46,$-1.19,0.0
2018-09-30,10.78,$-0.75,0.0
2018-06-30,10.23,$-0.53,0.0
2018-03-31,11.75,$-0.58,0.0
2017-12-31,12.77,$0.26,49.11
2017-09-30,11.81,$0.57,20.72
2017-06-30,11.53,$0.49,23.54
2017-03-31,12.67,$0.89,14.24
2016-12-31,12.47,$1.17,10.66
2016-09-30,11.39,$1.24,9.18
2016-06-30,11.56,$1.27,9.1
2016-03-31,9.99,$1.19,8.4
2015-12-31,9.69,$0.98,9.89
2015-09-30,9.59,$0.87,11.02
2015-06-30,10.29,$0.99,10.39
2015-03-31,10.53,$0.82,12.84
2014-12-31,10.61,$0.55,19.3
2014-09-30,10.12,$0.74,13.67
2014-06-30,9.99,$0.71,14.07
2014-03-31,9.44,$0.74,12.75
2013-12-31,10.2,$1.01,10.1
2013-09-30,8.91,$0.90,9.9
2013-06-30,8.81,$0.87,10.13
2013-03-31,9.55,$0.85,11.24
2012-12-31,8.7,$0.91,9.56
2012-09-30,8.62,$0.63,13.68
2012-06-30,8.08,$0.39,20.72
2012-03-31,8.24,$0.24,34.35
2011-12-31,8.47,$0.04,211.83
2011-09-30,7.14,$0.30,23.78
2011-06-30,7.51,$0.52,14.44
2011-03-31,7.78,$0.66,11.78
2010-12-31,8.35,$0.56,14.9
2010-09-30,7.47,$0.63,11.86
2010-06-30,6.96,$0.64,10.87
2010-03-31,8.15,$0.75,10.87
2009-12-31,8.66,$0.75,11.55
