Commercial Metals PE Ratio Historical Data,Commercial Metals PE Ratio Historical Data,Commercial Metals PE Ratio Historical Data,Commercial Metals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,47.36,,124.63
2025-02-28,48.44,$0.38,127.47
2024-11-30,61.69,$1.11,55.58
2024-08-31,53.41,$4.14,12.9
2024-05-31,55.94,$4.80,11.66
2024-02-29,53.48,$5.76,9.28
2023-11-30,44.75,$6.54,6.84
2023-08-31,55.35,$7.25,7.63
2023-05-31,41.91,$8.09,5.18
2023-02-28,50.57,$8.65,5.85
2022-11-30,47.95,$10.26,4.67
2022-08-31,39.33,$9.96,3.95
2022-05-31,38.42,$8.80,4.37
2022-02-28,37.15,$7.33,5.07
2021-11-30,29.66,$4.76,6.23
2021-08-31,31.18,$3.39,9.2
2021-05-31,29.96,$2.71,11.06
2021-02-28,23.85,$2.18,10.94
2020-11-30,18.78,$2.16,8.69
2020-08-31,19.56,$2.33,8.4
2020-05-31,15.99,$2.49,6.42
2020-02-29,16.88,$2.61,6.47
2019-11-30,19.63,$2.20,8.92
2019-08-31,14.32,$1.67,8.57
2019-05-31,12.12,$1.39,8.72
2019-02-28,14.92,$1.07,13.94
2018-11-30,17.24,$1.04,16.58
2018-08-31,19.21,$1.18,16.28
2018-05-31,20.91,$0.49,42.67
2018-02-28,21.36,$0.49,43.6
2017-11-30,17.36,$0.66,26.3
2017-08-31,16.42,$0.40,41.06
2017-05-31,15.64,$0.65,24.06
2017-02-28,18.15,$0.48,37.81
2016-11-30,18.79,$0.31,60.62
2016-08-31,13.16,$0.47,27.99
2016-05-31,14.45,$0.42,34.4
2016-02-29,12.27,$0.74,16.59
2015-11-30,12.25,$1.11,11.03
2015-08-31,12.9,$1.20,10.75
2015-05-31,13.1,$1.54,8.51
2015-02-28,12.18,$1.25,9.74
2014-11-30,13.1,$0.88,14.89
2014-08-31,13.76,$0.97,14.18
2014-05-31,14.04,$0.71,19.77
2014-02-28,15.2,$0.67,22.69
2013-11-30,15.17,$0.62,24.47
2013-08-31,11.55,$0.65,17.77
2013-05-31,11.87,$0.88,13.49
2013-02-28,12.45,$1.07,11.64
2012-11-30,10.26,$1.28,8.02
2012-08-31,9.57,$1.79,5.35
2012-05-31,8.69,$0.49,17.74
2012-02-29,9.81,$0.45,21.8
2011-11-30,10.22,$-0.20,0.0
2011-08-31,8.5,$-1.12,0.0
2011-05-31,10.68,$-0.01,0.0
2011-02-28,11.88,$-0.40,0.0
2010-11-30,10.87,$-1.53,0.0
2010-08-31,9.14,$-1.82,0.0
2010-05-31,10.83,$-1.83,0.0
2010-02-28,11.31,$-1.87,0.0
2009-11-30,10.89,$-0.66,0.0
