Modiv Industrial PE Ratio Historical Data,Modiv Industrial PE Ratio Historical Data,Modiv Industrial PE Ratio Historical Data,Modiv Industrial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.94,,63.76
2024-12-31,14.88,$0.25,59.52
2024-09-30,16.8,$-0.11,0.0
2024-06-30,14.14,$-0.79,0.0
2024-03-31,16.79,$-0.47,0.0
2023-12-31,14.9,$-1.42,0.0
2023-09-30,16.69,$-1.15,0.0
2023-06-30,15.0,$0.06,250.0
2023-03-31,10.63,$-0.15,0.0
2022-12-31,12.0,$-1.00,0.0
