XPeng PE Ratio Historical Data,XPeng PE Ratio Historical Data,XPeng PE Ratio Historical Data,XPeng PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.07,,0.0
2024-09-30,12.18,$-0.87,0.0
2024-06-30,7.33,$-1.22,0.0
2024-03-31,7.68,$-1.48,0.0
2023-12-31,14.59,$-1.68,0.0
2023-09-30,18.36,$-1.87,0.0
2023-06-30,13.42,$-1.64,0.0
2023-03-31,11.11,$-1.66,0.0
2022-12-31,9.94,$-1.58,0.0
2022-09-30,11.95,$-1.42,0.0
2022-06-30,31.74,$-1.32,0.0
2022-03-31,27.59,$-1.08,0.0
2021-12-31,50.33,$-0.91,0.0
2021-09-30,35.54,$-0.83,0.0
2021-06-30,44.42,$-0.54,0.0
