Interface PE Ratio Historical Data,Interface PE Ratio Historical Data,Interface PE Ratio Historical Data,Interface PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.76,,13.44
2024-12-31,24.35,$1.47,16.56
2024-09-30,18.96,$1.43,13.26
2024-06-30,14.67,$1.12,13.1
2024-03-31,16.79,$1.01,16.63
2023-12-31,12.59,$0.76,16.57
2023-09-30,9.78,$0.01,977.97
2023-06-30,8.75,$0.08,109.43
2023-03-31,8.08,$0.09,89.73
2022-12-31,9.8,$0.32,30.64
2022-09-30,8.92,$1.11,8.04
2022-06-30,12.43,$1.06,11.73
2022-03-31,13.45,$1.04,12.93
2021-12-31,15.79,$0.94,16.8
2021-09-30,14.99,$0.90,16.65
2021-06-30,15.13,$0.81,18.68
2021-03-31,12.33,$0.63,19.57
2020-12-31,10.37,$-1.24,0.0
2020-09-30,6.04,$-1.29,0.0
2020-06-30,8.02,$-0.94,0.0
2020-03-31,7.44,$-0.52,0.0
2019-12-31,16.17,$1.35,11.98
2019-09-30,14.02,$1.18,11.88
2019-06-30,14.8,$0.87,17.02
2019-03-31,14.73,$0.72,20.46
2018-12-31,13.65,$0.85,16.06
2018-09-30,22.28,$0.81,27.51
2018-06-30,21.84,$0.99,22.06
2018-03-31,23.91,$0.97,24.65
2017-12-31,23.8,$0.85,28.0
2017-09-30,20.67,$0.85,24.32
2017-06-30,18.48,$0.78,23.7
2017-03-31,17.86,$0.77,23.2
2016-12-31,17.34,$0.84,20.64
2016-09-30,15.54,$1.05,14.8
2016-06-30,14.15,$1.11,12.75
2016-03-31,17.15,$1.12,15.31
2015-12-31,17.65,$1.11,15.91
2015-09-30,20.62,$0.95,21.71
2015-06-30,23.0,$0.63,36.51
2015-03-31,19.05,$0.50,38.09
2014-12-31,15.07,$0.37,40.72
2014-09-30,14.73,$0.48,30.68
2014-06-30,17.15,$0.72,23.82
2014-03-31,18.67,$0.69,27.06
2013-12-31,19.93,$0.74,26.93
2013-09-30,17.98,$0.62,29.0
2013-06-30,15.35,$0.30,51.17
2013-03-31,17.36,$0.29,59.87
2012-12-31,14.5,$0.09,161.08
2012-09-30,11.9,$0.04,297.4
2012-06-30,12.25,$0.32,38.29
2012-03-31,12.52,$0.36,34.78
2011-12-31,10.34,$0.60,17.23
2011-09-30,10.61,$0.33,32.15
2011-06-30,17.3,$0.33,52.42
2011-03-31,16.5,$0.25,65.99
2010-12-31,13.97,$0.13,107.48
2010-09-30,12.66,$0.43,29.45
2010-06-30,9.55,$0.33,28.94
2010-03-31,10.29,$0.27,38.11
2009-12-31,7.38,$0.17,43.43
