Charles & Colvard PE Ratio Historical Data,Charles & Colvard PE Ratio Historical Data,Charles & Colvard PE Ratio Historical Data,Charles & Colvard PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.99,,0.0
2024-03-31,3.41,$-5.90,0.0
2023-12-31,4.1,$-7.50,0.0
2023-09-30,5.72,$-6.90,0.0
2023-06-30,9.55,$-6.40,0.0
2023-03-31,9.3,$-3.40,0.0
2022-12-31,8.23,$-0.50,0.0
2022-09-30,9.69,$0.20,48.43
2022-06-30,12.2,$0.80,15.25
2022-03-31,15.7,$3.50,4.49
2021-12-31,28.9,$3.70,7.81
2021-09-30,30.0,$4.20,7.14
2021-06-30,29.8,$4.20,7.1
2021-03-31,29.6,$1.10,26.91
2020-12-31,12.3,$-1.30,0.0
2020-09-30,8.2,$-1.90,0.0
2020-06-30,7.3,$-2.10,0.0
2020-03-31,6.77,$-1.60,0.0
2019-12-31,14.2,$0.90,15.78
2019-09-30,16.3,$1.10,14.82
2019-06-30,15.8,$1.10,14.36
2019-03-31,11.4,$1.00,11.4
2018-12-31,8.5,$0.30,28.33
2018-09-30,8.73,$-0.20,0.0
2018-06-30,10.7,$-0.40,0.0
2018-03-31,13.6,$-0.60,0.0
2017-12-31,13.5,$-0.60,0.0
2017-09-30,8.7,$-0.60,0.0
2017-06-30,9.2,$-1.10,0.0
2017-03-31,9.6,$-1.40,0.0
2016-12-31,11.0,$-1.70,0.0
2016-09-30,11.6,$-1.70,0.0
2016-06-30,10.2,$-2.10,0.0
2016-03-31,11.5,$-3.60,0.0
2015-12-31,11.2,$-3.80,0.0
2015-09-30,13.2,$-3.80,0.0
2015-06-30,15.1,$-4.30,0.0
2015-03-31,11.7,$-5.40,0.0
2014-12-31,18.4,$-5.10,0.0
2014-09-30,21.2,$-5.10,0.0
2014-06-30,22.0,$-4.20,0.0
2014-03-31,28.6,$-1.30,0.0
2013-12-31,50.5,$-0.60,0.0
2013-09-30,70.1,$-0.60,0.0
2013-06-30,40.8,$0.10,408.0
2013-03-31,38.6,$0.60,64.33
2012-12-31,39.2,$0.20,196.0
2012-09-30,36.1,$0.20,180.5
2012-06-30,37.7,$0.20,188.5
2012-03-31,46.2,$-0.20,0.0
2011-12-31,25.7,$-0.10,0.0
2011-09-30,22.4,$-0.10,0.0
2011-06-30,27.3,$0.10,273.0
2011-03-31,37.6,$0.40,94.0
2010-12-31,30.2,$0.70,43.14
2010-09-30,22.0,$0.70,31.43
2010-06-30,27.9,$0.10,279.0
2010-03-31,18.3,$-0.70,0.0
2009-12-31,11.6,$-1.50,0.0
