Agenus PE Ratio Historical Data,Agenus PE Ratio Historical Data,Agenus PE Ratio Historical Data,Agenus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.67,,0.0
2024-09-30,5.48,$-11.24,0.0
2024-06-30,16.75,$-11.36,0.0
2024-03-31,11.6,$-12.84,0.0
2023-12-31,16.56,$-14.20,0.0
2023-09-30,22.6,$-16.40,0.0
2023-06-30,32.0,$-17.00,0.0
2023-03-31,30.4,$-16.40,0.0
2022-12-31,48.0,$-15.80,0.0
2022-09-30,41.0,$-16.20,0.0
2022-06-30,38.8,$2.00,19.4
2022-03-31,49.2,$-2.00,0.0
2021-12-31,64.4,$-3.60,0.0
2021-09-30,105.0,$-2.40,0.0
2021-06-30,109.8,$-22.40,0.0
2021-03-31,54.4,$-20.60,0.0
2020-12-31,63.6,$-21.40,0.0
2020-09-30,80.0,$-21.80,0.0
2020-06-30,78.6,$-22.80,0.0
2020-03-31,49.0,$-24.80,0.0
2019-12-31,81.4,$-16.20,0.0
2019-09-30,51.6,$-19.80,0.0
2019-06-30,60.0,$-19.00,0.0
2019-03-31,59.4,$-16.20,0.0
2018-12-31,47.6,$-29.20,0.0
2018-09-30,42.8,$-28.20,0.0
2018-06-30,45.4,$-29.80,0.0
2018-03-31,94.2,$-31.40,0.0
2017-12-31,65.2,$-24.40,0.0
2017-09-30,88.2,$-23.40,0.0
2017-06-30,78.2,$-25.40,0.0
2017-03-31,75.4,$-25.60,0.0
2016-12-31,82.4,$-29.40,0.0
2016-09-30,143.6,$-27.00,0.0
2016-06-30,81.0,$-20.80,0.0
2016-03-31,83.2,$-24.80,0.0
2015-12-31,90.8,$-23.00,0.0
2015-09-30,92.0,$-27.60,0.0
2015-06-30,172.6,$-27.00,0.0
2015-03-31,102.6,$-18.80,0.0
2014-12-31,79.4,$-13.40,0.0
2014-09-30,62.2,$-8.40,0.0
2014-06-30,64.4,$-10.60,0.0
2014-03-31,63.4,$-16.20,0.0
2013-12-31,52.8,$-23.00,0.0
2013-09-30,55.4,$-24.40,0.0
2013-06-30,75.8,$-24.40,0.0
2013-03-31,77.8,$-22.60,0.0
2012-12-31,82.0,$-9.80,0.0
2012-09-30,92.2,$-11.00,0.0
2012-06-30,104.8,$-11.80,0.0
2012-03-31,131.9,$-11.60,0.0
2011-12-31,40.0,$-23.40,0.0
2011-09-30,56.4,$-21.20,0.0
2011-06-30,93.6,$-22.80,0.0
2011-03-31,109.2,$-22.80,0.0
2010-12-31,121.2,$-28.79,0.0
2010-09-30,118.8,$-22.80,0.0
2010-06-30,97.32,$-31.19,0.0
2010-03-31,87.2,$-45.59,0.0
2009-12-31,76.8,$-50.39,0.0
