Scotts Miracle-Gro PE Ratio Historical Data,Scotts Miracle-Gro PE Ratio Historical Data,Scotts Miracle-Gro PE Ratio Historical Data,Scotts Miracle-Gro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,59.32,,0.0
2024-12-31,66.34,$-0.48,0.0
2024-09-30,85.97,$-0.69,0.0
2024-06-30,63.93,$-4.73,0.0
2024-03-31,72.55,$-6.24,0.0
2023-12-31,61.32,$-7.04,0.0
2023-09-30,49.13,$-6.79,0.0
2023-06-30,58.84,$-2.43,0.0
2023-03-31,64.8,$-11.21,0.0
2022-12-31,44.79,$-8.21,0.0
2022-09-30,38.95,$-7.94,0.0
2022-06-30,71.34,$-4.83,0.0
2022-03-31,110.27,$7.12,15.49
2021-12-31,143.66,$7.61,18.88
2021-09-30,130.06,$8.94,14.55
2021-06-30,169.83,$9.87,17.21
2021-03-31,216.17,$9.48,22.8
2020-12-31,175.24,$8.52,20.57
2020-09-30,134.07,$6.81,19.69
2020-06-30,113.98,$5.70,20.0
2020-03-31,86.42,$5.71,15.14
2019-12-31,89.17,$8.33,10.71
2019-09-30,85.02,$8.17,10.41
2019-06-30,81.8,$6.56,12.47
2019-03-31,64.85,$4.47,14.51
2018-12-31,50.38,$-0.03,0.0
2018-09-30,64.06,$1.04,61.6
2018-06-30,67.17,$3.12,21.53
2018-03-31,68.84,$4.18,16.47
2017-12-31,85.38,$4.32,19.76
2017-09-30,77.26,$3.60,21.46
2017-06-30,70.61,$3.81,18.53
2017-03-31,73.29,$4.72,15.53
2016-12-31,74.59,$5.37,13.89
2016-09-30,64.65,$5.14,12.58
2016-06-30,53.94,$5.12,10.54
2016-03-31,55.77,$3.82,14.6
2015-12-31,49.09,$2.45,20.04
2015-09-30,45.96,$2.54,18.1
2015-06-30,44.4,$2.68,16.57
2015-03-31,50.02,$2.49,20.09
2014-12-31,46.09,$2.48,18.59
2014-09-30,40.38,$2.65,15.24
2014-06-30,40.04,$2.58,15.52
2014-03-31,42.84,$3.00,14.28
2013-12-31,43.16,$2.60,16.6
2013-09-30,37.89,$2.56,14.8
2013-06-30,33.0,$2.21,14.93
2013-03-31,29.14,$1.34,21.75
2012-12-31,29.46,$1.79,16.46
2012-09-30,28.85,$1.68,17.17
2012-06-30,27.08,$1.48,18.29
2012-03-31,35.42,$1.67,21.21
2011-12-31,30.34,$2.25,13.49
2011-09-30,28.78,$2.44,11.8
2011-06-30,32.9,$2.81,11.71
2011-03-31,36.93,$3.71,9.96
2010-12-31,32.26,$2.84,11.36
2010-09-30,32.71,$2.98,10.98
2010-06-30,27.93,$3.24,8.62
2010-03-31,29.07,$2.88,10.09
2009-12-31,24.57,$2.30,10.68
