Duke Energy PE Ratio Historical Data,Duke Energy PE Ratio Historical Data,Duke Energy PE Ratio Historical Data,Duke Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,120.16,,21.04
2024-12-31,107.74,$5.71,18.87
2024-09-30,114.24,$5.44,21.0
2024-06-30,98.39,$5.43,18.12
2024-03-31,94.0,$3.98,23.62
2023-12-31,93.28,$3.55,26.28
2023-09-30,83.89,$1.57,53.43
2023-06-30,84.34,$1.79,47.12
2023-03-31,89.74,$3.25,27.61
2022-12-31,94.84,$3.32,28.57
2022-09-30,84.76,$4.96,17.09
2022-06-30,96.8,$4.94,19.59
2022-03-31,99.91,$4.76,20.99
2021-12-31,92.94,$4.93,18.85
2021-09-30,85.63,$3.88,22.07
2021-06-30,85.82,$3.83,22.41
2021-03-31,83.14,$1.74,47.78
2020-12-31,78.03,$1.73,45.1
2020-09-30,74.7,$2.73,27.36
2020-06-30,66.61,$2.81,23.71
2020-03-31,66.67,$5.06,13.18
2019-12-31,74.49,$5.06,14.72
2019-09-30,77.45,$4.83,16.04
2019-06-30,70.55,$4.52,15.61
2019-03-31,71.19,$4.11,17.32
2018-12-31,67.55,$3.75,18.01
2018-09-30,61.97,$4.10,15.11
2018-06-30,60.55,$3.95,15.33
2018-03-31,58.62,$4.22,13.89
2017-12-31,62.91,$4.36,14.43
2017-09-30,62.14,$3.03,20.51
2017-06-30,61.27,$3.37,18.18
2017-03-31,59.5,$3.13,19.01
2016-12-31,55.69,$3.12,17.85
2016-09-30,56.77,$4.14,13.71
2016-06-30,60.24,$3.79,15.89
2016-03-31,56.04,$3.83,14.63
2015-12-31,49.07,$4.04,12.15
2015-09-30,48.85,$3.49,14.0
2015-06-30,47.44,$3.94,12.04
2015-03-31,51.03,$4.02,12.69
2014-12-31,54.99,$2.66,20.67
2014-09-30,48.73,$3.49,13.96
2014-06-30,47.82,$3.11,15.38
2014-03-31,45.41,$2.73,16.63
2013-12-31,43.52,$3.76,11.57
2013-09-30,41.65,$3.41,12.22
2013-06-30,41.63,$2.84,14.66
2013-03-31,44.3,$3.35,13.22
2012-12-31,38.51,$2.68,14.37
2012-09-30,38.62,$2.72,14.2
2012-06-30,40.77,$2.92,13.96
2012-03-31,36.72,$2.92,12.57
2011-12-31,37.99,$3.84,9.89
2011-09-30,34.1,$4.14,8.24
2011-06-30,31.66,$4.62,6.85
2011-03-31,30.13,$3.12,9.66
2010-12-31,29.17,$3.00,9.72
2010-09-30,28.62,$2.82,10.15
2010-06-30,25.49,$1.53,16.66
2010-03-31,25.62,$2.67,9.6
2009-12-31,26.63,$2.46,10.82
