Genetic Technologies PE Ratio Historical Data,Genetic Technologies PE Ratio Historical Data,Genetic Technologies PE Ratio Historical Data,Genetic Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-16,0.77,,inf
2024-06-30,1.5,0.0,0.0
2023-12-31,2.4,0.0,0.0
2023-06-30,20.77,0.0,0.0
2022-12-31,23.25,0.0,0.0
2022-06-30,29.0,0.0,0.0
2021-12-31,47.0,0.0,0.0
2021-06-30,106.25,0.0,0.0
2020-12-31,90.0,0.0,0.0
2020-06-30,57.0,0.0,0.0
2019-12-31,49.75,0.0,0.0
2019-06-30,59.0,0.0,0.0
2018-12-31,54.66,0.0,0.0
2018-06-30,98.99,0.0,0.0
2017-12-31,116.0,0.0,0.0
2017-06-30,90.1,0.0,0.0
2016-12-31,108.0,0.0,0.0
2016-06-30,209.0,0.0,0.0
2015-12-31,268.0,0.0,0.0
2015-06-30,304.0,0.0,0.0
2014-12-31,192.55,0.0,0.0
2014-06-30,530.0,0.0,0.0
2013-12-31,715.0,0.0,0.0
2013-06-30,1162.5,0.0,0.0
2012-12-31,1090.0,0.0,0.0
2012-06-30,1825.0,0.0,0.0
2011-12-31,1515.0,0.0,0.0
2011-06-30,3460.0,0.0,0.0
2010-12-31,527.5,0.0,0.0
