AmeriServ Financial PE Ratio Historical Data,AmeriServ Financial PE Ratio Historical Data,AmeriServ Financial PE Ratio Historical Data,AmeriServ Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.45,,15.31
2024-12-31,2.68,$0.16,16.75
2024-09-30,2.58,$-0.15,0.0
2024-06-30,2.21,$-0.18,0.0
2024-03-31,2.51,$-0.17,0.0
2023-12-31,3.09,$-0.19,0.0
2023-09-30,2.5,$0.18,13.9
2023-06-30,2.38,$0.26,9.14
2023-03-31,2.82,$0.39,7.24
2022-12-31,3.62,$0.44,8.23
2022-09-30,3.47,$0.49,7.08
2022-06-30,3.57,$0.45,7.93
2022-03-31,3.63,$0.43,8.44
2021-12-31,3.45,$0.41,8.41
2021-09-30,3.45,$0.34,10.14
2021-06-30,3.47,$0.32,10.83
2021-03-31,3.56,$0.30,11.87
2020-12-31,2.73,$0.26,10.49
2020-09-30,2.43,$0.26,9.33
2020-06-30,2.64,$0.30,8.79
2020-03-31,2.22,$0.32,6.95
2019-12-31,3.54,$0.35,10.12
2019-09-30,3.47,$0.42,8.27
2019-06-30,3.46,$0.45,7.69
2019-03-31,3.35,$0.45,7.45
2018-12-31,3.34,$0.44,7.6
2018-09-30,3.55,$0.28,12.68
2018-06-30,3.37,$0.23,14.65
2018-03-31,3.27,$0.20,16.36
2017-12-31,3.38,$0.17,19.9
2017-09-30,3.25,$0.28,11.6
2017-06-30,3.36,$0.26,12.91
2017-03-31,3.02,$0.26,11.63
2016-12-31,2.97,$0.12,24.76
2016-09-30,2.65,$0.13,20.41
2016-06-30,2.4,$0.16,15.02
2016-03-31,2.37,$0.16,14.82
2015-12-31,2.53,$0.30,8.43
2015-09-30,2.55,$0.27,9.46
2015-06-30,2.62,$0.20,13.08
2015-03-31,2.33,$0.18,12.97
2014-12-31,2.44,$0.16,15.27
2014-09-30,2.57,$0.21,12.23
2014-06-30,2.7,$0.25,10.8
2014-03-31,2.98,$0.25,11.91
2013-12-31,2.34,$0.25,9.35
2013-09-30,2.42,$0.20,12.11
2013-06-30,2.1,$0.19,11.05
2013-03-31,2.39,$0.20,11.95
2012-12-31,2.3,$0.21,10.95
2012-09-30,2.27,$0.24,9.45
2012-06-30,2.15,$0.24,8.97
2012-03-31,2.09,$0.26,8.03
2011-12-31,1.49,$0.25,5.96
2011-09-30,1.45,$0.22,6.6
2011-06-30,1.49,$0.19,7.84
2011-03-31,1.81,$0.12,15.09
2010-12-31,1.21,$0.01,120.68
2010-09-30,1.28,$-0.12,0.0
2010-06-30,1.23,$-0.29,0.0
2010-03-31,1.28,$-0.36,0.0
2009-12-31,1.28,$-0.29,0.0
