Direct Digital Holdings PE Ratio Historical Data,Direct Digital Holdings PE Ratio Historical Data,Direct Digital Holdings PE Ratio Historical Data,Direct Digital Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.79,,0.0
2024-09-30,2.11,$-1.17,0.0
2024-06-30,4.03,$-0.23,0.0
2024-03-31,15.24,$0.01,0.0
2023-12-31,14.88,$0.14,106.29
2023-09-30,2.56,$0.23,11.13
2023-06-30,2.85,$0.06,47.5
2023-03-31,3.24,$0.16,20.25
2022-12-31,2.43,$0.16,15.16
