Smith & Wesson Brands PE Ratio Historical Data,Smith & Wesson Brands PE Ratio Historical Data,Smith & Wesson Brands PE Ratio Historical Data,Smith & Wesson Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.52,,14.65
2025-01-31,10.49,$0.65,16.14
2024-10-31,12.96,$0.78,16.61
2024-07-31,16.39,$0.74,22.15
2024-04-30,16.66,$0.86,19.37
2024-01-31,12.73,$0.57,22.34
2023-10-31,14.23,$0.64,22.24
2023-07-31,12.18,$0.80,15.22
2023-04-30,11.4,$0.80,14.25
2023-01-31,10.41,$1.31,7.95
2022-10-31,10.48,$1.72,6.1
2022-07-31,13.38,$2.56,5.23
2022-04-30,12.53,$4.06,3.09
2022-01-31,15.51,$4.97,3.12
2021-10-31,19.44,$5.44,3.57
2021-07-31,21.12,$5.31,3.98
2021-04-30,15.64,$4.60,3.4
2021-01-31,14.84,$1.70,8.73
2020-10-31,14.83,$0.68,21.8
2020-07-31,21.28,$-0.22,0.0
2020-04-30,8.43,$-1.12,0.0
2020-01-31,8.39,$0.26,32.28
2019-10-31,6.31,$0.06,105.13
2019-07-31,8.59,$0.16,53.68
2019-04-30,8.78,$0.34,25.81
2019-01-31,10.75,$0.30,35.84
2018-10-31,12.19,$0.61,19.98
2018-07-31,8.44,$0.55,15.34
2018-04-30,9.8,$0.37,26.49
2018-01-31,10.63,$0.73,14.56
2017-10-31,12.77,$1.09,11.71
2017-07-31,18.41,$1.60,11.51
2017-04-30,19.73,$2.21,8.93
2017-01-31,18.98,$2.34,8.11
2016-10-31,23.55,$2.33,10.11
2016-07-31,26.24,$1.98,13.25
2016-04-30,19.45,$1.67,11.65
2016-01-31,19.21,$1.44,13.34
2015-10-31,15.91,$1.03,15.45
2015-07-31,14.45,$0.90,16.06
2015-04-30,13.24,$0.90,14.71
2015-01-31,10.96,$0.94,11.66
2014-10-31,9.05,$1.15,7.87
2014-07-31,11.0,$1.34,8.21
2014-04-30,13.68,$1.48,9.24
2014-01-31,11.66,$1.42,8.21
2013-10-31,9.61,$1.28,7.51
2013-07-31,10.55,$1.31,8.05
2013-04-30,7.82,$1.18,6.63
2013-01-31,7.66,$0.99,7.74
2012-10-31,8.54,$0.84,10.17
2012-07-31,9.0,$0.50,18.0
2012-04-30,7.35,$0.24,30.62
2012-01-31,4.58,$0.07,65.42
2011-10-31,2.63,$-0.88,0.0
2011-07-31,2.99,$-1.47,0.0
2011-04-30,3.21,$-1.38,0.0
2011-01-31,3.16,$-1.36,0.0
2010-10-31,3.34,$-0.44,0.0
2010-07-31,3.43,$0.39,8.79
2010-04-30,3.98,$0.50,7.96
2010-01-31,3.53,$0.60,5.88
2009-10-31,3.8,$0.61,6.24
