RLI PE Ratio Historical Data,RLI PE Ratio Historical Data,RLI PE Ratio Historical Data,RLI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,76.13,,20.33
2024-12-31,164.83,$3.75,44.01
2024-09-30,151.29,$4.55,33.25
2024-06-30,137.08,$3.67,37.4
2024-03-31,144.66,$3.62,39.96
2023-12-31,129.47,$3.31,39.12
2023-09-30,129.95,$3.13,41.52
2023-06-30,130.24,$7.79,16.72
2023-03-31,126.57,$6.92,18.29
2022-12-31,124.76,$6.37,19.59
2022-09-30,92.06,$6.35,14.51
2022-06-30,104.6,$1.86,56.23
2022-03-31,99.04,$2.78,35.62
2021-12-31,100.11,$3.06,32.77
2021-09-30,87.67,$2.94,29.87
2021-06-30,91.24,$3.08,29.62
2021-03-31,97.1,$3.21,30.3
2020-12-31,90.43,$1.73,52.42
2020-09-30,71.8,$1.40,51.47
2020-06-30,70.22,$1.29,54.65
2020-03-31,74.98,$0.71,105.61
2019-12-31,76.56,$2.12,36.11
2019-09-30,78.04,$1.30,60.03
2019-06-30,71.82,$1.39,51.85
2019-03-31,59.96,$1.31,45.77
2018-12-31,57.47,$0.72,80.38
2018-09-30,65.46,$1.59,41.17
2018-06-30,54.98,$1.17,46.99
2018-03-31,52.48,$1.10,47.93
2017-12-31,50.05,$1.19,42.24
2017-09-30,45.84,$0.90,50.93
2017-06-30,43.48,$1.13,38.48
2017-03-31,47.6,$1.16,41.03
2016-12-31,49.9,$1.29,38.68
2016-09-30,52.15,$1.31,39.81
2016-06-30,52.33,$1.47,35.72
2016-03-31,50.71,$1.56,32.51
2015-12-31,46.7,$1.56,30.03
2015-09-30,39.08,$1.60,24.42
2015-06-30,37.38,$1.58,23.73
2015-03-31,37.98,$1.57,24.27
2014-12-31,35.66,$1.55,23.08
2014-09-30,29.24,$1.51,19.43
2014-06-30,30.8,$1.56,19.78
2014-03-31,29.64,$1.49,19.86
2013-12-31,32.5,$1.45,22.41
2013-09-30,28.24,$1.36,20.84
2013-06-30,24.58,$1.22,20.14
2013-03-31,23.0,$1.16,19.79
2012-12-31,20.61,$1.20,17.17
2012-09-30,19.64,$1.27,15.5
2012-06-30,20.0,$1.28,15.68
2012-03-31,20.91,$1.54,13.55
2011-12-31,21.17,$1.53,13.86
2011-09-30,17.14,$1.65,10.42
2011-06-30,16.61,$1.68,9.92
2011-03-31,15.39,$1.54,10.02
2010-12-31,13.96,$1.51,9.25
2010-09-30,13.21,$1.39,9.5
2010-06-30,12.19,$1.41,8.64
2010-03-31,13.16,$1.39,9.49
2009-12-31,12.23,$1.08,11.3
