ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,100.65,,19.47
2024-12-31,100.4,$5.17,19.42
2024-09-30,90.17,$4.78,18.86
2024-06-30,79.73,$4.59,17.37
2024-03-31,77.41,$4.30,18.0
2023-12-31,66.86,$5.55,12.05
2023-09-30,59.52,$5.45,10.92
2023-06-30,57.1,$5.42,10.54
2023-03-31,57.94,$5.30,10.93
2022-12-31,59.08,$3.83,15.43
2022-09-30,45.36,$3.60,12.6
2022-06-30,48.38,$3.52,13.74
2022-03-31,60.67,$3.37,18.0
2021-12-31,49.69,$3.36,14.79
2021-09-30,48.33,$3.20,15.1
2021-06-30,45.55,$3.02,15.08
2021-03-31,40.72,$2.57,15.85
2020-12-31,30.14,$1.37,22.0
2020-09-30,19.77,$1.45,13.63
2020-06-30,24.46,$1.49,16.41
2020-03-31,15.53,$1.92,8.09
2019-12-31,53.22,$3.07,17.34
2019-09-30,51.16,$3.00,17.05
2019-06-30,47.15,$3.01,15.67
2019-03-31,47.27,$2.94,16.08
2018-12-31,36.02,$2.77,13.0
2018-09-30,44.64,$2.23,20.02
2018-06-30,45.43,$1.91,23.79
2018-03-31,36.55,$1.56,23.43
2017-12-31,33.89,$1.33,25.48
2017-09-30,34.64,$1.60,21.65
2017-06-30,32.16,$1.60,20.1
2017-03-31,33.79,$1.67,20.23
2016-12-31,34.61,$1.66,20.85
2016-09-30,30.59,$1.35,22.66
2016-06-30,27.86,$1.31,21.27
2016-03-31,17.24,$1.27,13.57
2015-12-31,13.88,$1.16,11.96
2015-09-30,17.79,$1.49,11.94
2015-06-30,21.47,$1.41,15.23
2015-03-31,25.91,$1.34,19.34
2014-12-31,26.37,$1.49,17.69
2014-09-30,34.36,$1.47,23.38
2014-06-30,35.38,$1.46,24.23
2014-03-31,30.51,$1.17,26.08
2013-12-31,27.97,$1.27,22.02
2013-09-30,23.83,$1.37,17.39
2013-06-30,18.33,$1.38,13.28
2013-03-31,21.0,$1.67,12.58
2012-12-31,18.69,$1.71,10.93
2012-09-30,20.97,$1.73,12.16
2012-06-30,18.23,$1.70,10.73
2012-03-31,17.47,$1.67,10.49
2011-12-31,18.41,$1.68,10.96
2011-09-30,13.93,$1.52,9.19
2011-06-30,15.49,$1.49,10.43
2011-03-31,13.89,$1.43,9.75
2010-12-31,11.42,$1.55,7.37
2010-09-30,9.18,$1.61,5.72
2010-06-30,8.73,$1.58,5.55
2010-03-31,9.14,$1.58,5.8
2009-12-31,8.83,$1.44,6.15
