VirTra PE Ratio Historical Data,VirTra PE Ratio Historical Data,VirTra PE Ratio Historical Data,VirTra PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.22,,10.04
2024-09-30,6.22,$0.52,11.96
2024-06-30,7.69,$0.62,12.4
2024-03-31,10.28,$0.60,17.13
2023-12-31,9.47,$0.76,12.46
2023-09-30,5.58,$0.64,8.72
2023-06-30,7.61,$0.42,18.12
2023-03-31,4.0,$0.40,10.0
2022-12-31,4.68,$0.18,26.0
2022-09-30,5.41,$0.05,108.2
2022-06-30,4.92,$0.24,20.5
2022-03-31,6.1,$0.22,27.73
2021-12-31,7.0,$0.25,28.0
2021-09-30,10.14,$0.46,22.04
2021-06-30,7.37,$0.45,16.38
2021-03-31,6.15,$0.32,19.22
2020-12-31,3.52,$0.19,18.53
2020-09-30,3.88,$-0.03,0.0
2020-06-30,3.79,$-0.02,0.0
2020-03-31,2.25,$-0.02,0.0
2019-12-31,4.87,$-0.01,0.0
2019-09-30,2.72,$-0.13,0.0
2019-06-30,2.33,$-0.24,0.0
2019-03-31,3.98,$0.10,39.8
2018-12-31,3.07,$0.13,23.62
