Beyond Meat PE Ratio Historical Data,Beyond Meat PE Ratio Historical Data,Beyond Meat PE Ratio Historical Data,Beyond Meat PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.47,,0.0
2024-12-31,3.76,$-2.43,0.0
2024-09-30,6.78,$-4.18,0.0
2024-06-30,6.71,$-4.86,0.0
2024-03-31,8.28,$-5.16,0.0
2023-12-31,8.9,$-5.24,0.0
2023-09-30,9.62,$-3.89,0.0
2023-06-30,12.98,$-4.40,0.0
2023-03-31,16.23,$-5.10,0.0
2022-12-31,12.31,$-5.76,0.0
2022-09-30,14.17,$-5.98,0.0
2022-06-30,23.94,$-5.25,0.0
2022-03-31,48.31,$-4.03,0.0
2021-12-31,65.16,$-2.88,0.0
2021-09-30,105.26,$-2.01,0.0
2021-06-30,157.49,$-1.45,0.0
2021-03-31,130.12,$-1.30,0.0
2020-12-31,125.0,$-0.84,0.0
2020-09-30,166.06,$-0.45,0.0
2020-06-30,133.98,$-0.08,0.0
2020-03-31,66.6,$-0.16,0.0
