SEMrush Holdings PE Ratio Historical Data,SEMrush Holdings PE Ratio Historical Data,SEMrush Holdings PE Ratio Historical Data,SEMrush Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.13,,202.6
2024-12-31,11.88,$0.05,237.6
2024-09-30,15.71,$0.08,196.38
2024-06-30,13.39,$0.10,133.9
2024-03-31,13.26,$0.09,147.33
2023-12-31,13.66,$0.01,0.0
2023-09-30,8.5,$-0.14,0.0
2023-06-30,9.57,$-0.23,0.0
2023-03-31,10.05,$-0.29,0.0
2022-12-31,8.14,$-0.24,0.0
2022-09-30,11.21,$-0.17,0.0
2022-06-30,12.93,$-0.11,0.0
2022-03-31,11.94,$-0.05,0.0
2021-12-31,20.85,$-0.02,0.0
