Rigel Pharmaceuticals PE Ratio Historical Data,Rigel Pharmaceuticals PE Ratio Historical Data,Rigel Pharmaceuticals PE Ratio Historical Data,Rigel Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.37,,21.67
2024-12-31,16.82,$0.94,17.89
2024-09-30,16.18,$0.14,115.57
2024-06-30,8.22,$-0.86,0.0
2024-03-31,14.8,$-1.20,0.0
2023-12-31,14.5,$-1.50,0.0
2023-09-30,10.8,$-1.40,0.0
2023-06-30,12.9,$-2.20,0.0
2023-03-31,13.2,$-2.60,0.0
2022-12-31,15.0,$-3.40,0.0
2022-09-30,11.8,$-4.80,0.0
2022-06-30,11.3,$-4.90,0.0
2022-03-31,29.9,$-4.90,0.0
2021-12-31,26.5,$-1.10,0.0
2021-09-30,36.3,$-0.90,0.0
2021-06-30,43.4,$-0.50,0.0
2021-03-31,34.2,$-0.70,0.0
2020-12-31,35.0,$-1.60,0.0
2020-09-30,24.0,$-1.50,0.0
2020-06-30,18.3,$-1.40,0.0
2020-03-31,15.6,$-1.60,0.0
2019-12-31,21.4,$-4.00,0.0
2019-09-30,18.7,$-2.80,0.0
2019-06-30,26.1,$-3.50,0.0
2019-03-31,25.7,$-3.90,0.0
2018-12-31,23.0,$-4.50,0.0
2018-09-30,32.1,$-6.50,0.0
2018-06-30,28.3,$-6.50,0.0
2018-03-31,35.4,$-6.50,0.0
2017-12-31,38.8,$-6.10,0.0
2017-09-30,25.4,$-5.90,0.0
2017-06-30,27.3,$-6.90,0.0
2017-03-31,33.1,$-6.80,0.0
2016-12-31,23.8,$-7.40,0.0
2016-09-30,36.7,$-7.20,0.0
2016-06-30,22.3,$-5.60,0.0
2016-03-31,20.8,$-5.70,0.0
2015-12-31,30.3,$-5.90,0.0
2015-09-30,24.6,$-7.00,0.0
2015-06-30,32.1,$-8.60,0.0
2015-03-31,35.7,$-9.90,0.0
2014-12-31,22.7,$-10.30,0.0
2014-09-30,19.4,$-9.70,0.0
2014-06-30,36.3,$-10.00,0.0
2014-03-31,38.8,$-9.70,0.0
2013-12-31,28.5,$-10.10,0.0
2013-09-30,35.8,$-11.20,0.0
2013-06-30,33.4,$-12.10,0.0
2013-03-31,68.0,$-13.00,0.0
2012-12-31,65.0,$-13.30,0.0
2012-09-30,102.4,$-13.90,0.0
2012-06-30,93.0,$-12.80,0.0
2012-03-31,80.5,$-13.00,0.0
2011-12-31,78.9,$-13.80,0.0
2011-09-30,73.6,$-13.50,0.0
2011-06-30,91.7,$-1.40,0.0
2011-03-31,71.1,$7.50,9.48
2010-12-31,75.3,$7.20,10.46
2010-09-30,84.1,$5.70,14.75
2010-06-30,72.0,$-10.90,0.0
2010-03-31,79.7,$-24.20,0.0
2009-12-31,95.1,$-28.10,0.0
