Inhibikase Therapeutics PE Ratio Historical Data,Inhibikase Therapeutics PE Ratio Historical Data,Inhibikase Therapeutics PE Ratio Historical Data,Inhibikase Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.42,,0.0
2024-09-30,1.3,$-2.67,0.0
2024-06-30,1.21,$-2.88,0.0
2024-03-31,2.16,$-3.33,0.0
2023-12-31,1.27,$-3.56,0.0
2023-09-30,1.39,$-3.95,0.0
2023-06-30,3.61,$-4.17,0.0
2023-03-31,0.66,$-4.14,0.0
2022-12-31,0.5,$-4.26,0.0
2022-09-30,0.91,$-4.44,0.0
2022-06-30,0.74,$-4.44,0.0
2022-03-31,1.48,$-4.68,0.0
2021-12-31,1.47,$-5.16,0.0
2021-09-30,1.9,$-4.86,0.0
