Zepp Health PE Ratio Historical Data,Zepp Health PE Ratio Historical Data,Zepp Health PE Ratio Historical Data,Zepp Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.63,,0.0
2024-09-30,4.35,$-2.50,0.0
2024-06-30,2.4,$-1.64,0.0
2024-03-31,4.08,$-1.60,0.0
2023-12-31,5.68,$-1.96,0.0
2023-09-30,4.6,$-2.60,0.0
2023-06-30,4.56,$-2.80,0.0
2023-03-31,5.24,$-3.20,0.0
2022-12-31,5.8,$-2.80,0.0
2022-09-30,5.48,$-1.64,0.0
2022-06-30,7.4,$-0.60,0.0
2022-03-31,11.52,$0.04,288.0
2021-09-30,31.08,$2.00,15.54
2021-06-30,45.44,$2.28,19.93
2021-03-31,41.68,$1.52,27.42
2020-12-31,45.86,$2.08,22.05
2020-09-30,49.73,$2.84,17.51
2020-06-30,47.83,$3.88,12.33
2020-03-31,50.78,$4.56,11.14
2019-12-31,46.52,$5.12,9.09
2019-09-30,38.7,$4.44,8.72
2019-06-30,38.7,$3.72,10.4
2019-03-31,50.66,$3.72,13.62
2018-12-31,38.04,$3.12,12.19
