FibroGen PE Ratio Historical Data,FibroGen PE Ratio Historical Data,FibroGen PE Ratio Historical Data,FibroGen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.34,,0.0
2024-09-30,0.4,$-1.23,0.0
2024-06-30,0.89,$-1.71,0.0
2024-03-31,2.35,$-2.45,0.0
2023-12-31,0.89,$-2.93,0.0
2023-09-30,0.86,$-3.06,0.0
2023-06-30,2.7,$-3.39,0.0
2023-03-31,18.66,$-3.27,0.0
2022-12-31,16.02,$-3.14,0.0
2022-09-30,13.01,$-3.89,0.0
2022-06-30,10.56,$-2.37,0.0
2022-03-31,12.02,$-3.04,0.0
2021-12-31,14.1,$-3.14,0.0
2021-09-30,10.22,$-2.33,0.0
2021-06-30,26.63,$-2.52,0.0
2021-03-31,34.71,$-2.02,0.0
2020-12-31,37.09,$-2.13,0.0
2020-09-30,41.12,$-2.61,0.0
2020-06-30,40.53,$-3.53,0.0
2020-03-31,34.75,$-1.32,0.0
2019-12-31,42.89,$-0.96,0.0
2019-09-30,36.98,$0.39,94.82
2019-06-30,45.18,$0.46,98.22
2019-03-31,54.35,$-1.08,0.0
2018-12-31,46.28,$-1.05,0.0
2018-09-30,60.75,$-1.55,0.0
2018-06-30,62.6,$-1.55,0.0
2018-03-31,46.2,$-1.75,0.0
2017-12-31,47.4,$-1.77,0.0
2017-09-30,53.8,$-2.04,0.0
2017-06-30,32.3,$-1.92,0.0
2017-03-31,24.65,$-1.09,0.0
2016-12-31,21.4,$-1.02,0.0
2016-09-30,20.7,$-1.33,0.0
2016-06-30,16.41,$-1.69,0.0
2016-03-31,21.29,$-1.21,0.0
2015-12-31,30.47,$-1.54,0.0
2015-09-30,21.92,$-2.14,0.0
