TXO Partners LP PE Ratio Historical Data,TXO Partners LP PE Ratio Historical Data,TXO Partners LP PE Ratio Historical Data,TXO Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.89,,28.83
2024-12-31,16.84,$0.69,24.41
2024-09-30,19.78,$-5.94,0.0
2024-06-30,20.16,$-5.68,0.0
2024-03-31,17.95,$-5.85,0.0
2023-12-31,18.18,$-3.32,0.0
