I-Mab PE Ratio Historical Data,I-Mab PE Ratio Historical Data,I-Mab PE Ratio Historical Data,I-Mab PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.86,,17.22
2024-09-30,1.24,$0.05,24.8
2024-06-30,1.67,$0.30,5.57
2023-12-31,1.9,0,0.0
2023-09-30,1.32,0,0.0
2023-06-30,2.99,0,0.0
2022-12-31,4.18,0,0.0
2022-06-30,11.3,0,0.0
