Better Choice PE Ratio Historical Data,Better Choice PE Ratio Historical Data,Better Choice PE Ratio Historical Data,Better Choice PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.69,,0.0
2024-09-30,2.09,$-20.73,0.0
2024-06-30,3.9,$-23.66,0.0
2024-03-31,6.0,$-31.05,0.0
2023-12-31,0.28,$-32.29,0.0
2023-09-30,0.12,$-48.02,0.0
2023-06-30,0.21,$-55.51,0.0
2023-03-31,0.37,$-57.71,0.0
2022-12-31,0.54,$-59.03,0.0
2022-09-30,0.8,$-22.47,0.0
2022-06-30,2.2,$-18.06,0.0
2022-03-31,2.55,$40.97,0.06
