Acrivon Therapeutics PE Ratio Historical Data,Acrivon Therapeutics PE Ratio Historical Data,Acrivon Therapeutics PE Ratio Historical Data,Acrivon Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.14,,0.0
2024-09-30,7.0,$-2.70,0.0
2024-06-30,5.8,$-2.77,0.0
2024-03-31,7.15,$-2.88,0.0
2023-12-31,4.92,$-2.73,0.0
2023-09-30,9.56,$-2.67,0.0
