Pliant Therapeutics PE Ratio Historical Data,Pliant Therapeutics PE Ratio Historical Data,Pliant Therapeutics PE Ratio Historical Data,Pliant Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.58,,0.0
2024-12-31,13.17,$-3.47,0.0
2024-09-30,11.21,$-3.34,0.0
2024-06-30,10.75,$-3.09,0.0
2024-03-31,14.9,$-2.87,0.0
2023-12-31,18.11,$-2.76,0.0
2023-09-30,17.34,$-2.79,0.0
2023-06-30,18.12,$-2.74,0.0
2023-03-31,26.6,$-2.86,0.0
2022-12-31,19.33,$-2.97,0.0
2022-09-30,20.89,$-2.93,0.0
2022-06-30,8.01,$-3.03,0.0
2022-03-31,7.01,$-2.85,0.0
2021-12-31,13.5,$-2.71,0.0
2021-09-30,16.88,$-2.57,0.0
2021-06-30,29.12,$-2.29,0.0
2021-03-31,39.33,$-3.04,0.0
