Consolidated Edison Inc PE Ratio Historical Data,Consolidated Edison Inc PE Ratio Historical Data,Consolidated Edison Inc PE Ratio Historical Data,Consolidated Edison Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,108.48,,20.7
2024-12-31,89.23,$5.24,17.03
2024-09-30,103.23,$5.31,19.44
2024-06-30,87.93,$5.14,17.11
2024-03-31,88.53,$5.21,16.99
2023-12-31,87.85,$7.18,12.23
2023-09-30,81.86,$6.75,12.13
2023-06-30,85.73,$6.95,12.34
2023-03-31,89.97,$7.02,12.82
2022-12-31,88.84,$4.67,19.02
2022-09-30,79.24,$4.77,16.61
2022-06-30,87.19,$4.57,19.08
2022-03-31,86.09,$4.33,19.88
2021-12-31,76.83,$3.85,19.96
2021-09-30,64.72,$3.35,19.32
2021-06-30,63.31,$3.30,19.18
2021-03-31,65.38,$3.39,19.29
2020-12-31,62.47,$3.29,18.99
2020-09-30,66.61,$4.04,16.49
2020-06-30,60.95,$3.99,15.28
2020-03-31,65.4,$3.88,16.85
2019-12-31,75.24,$4.07,18.49
2019-09-30,77.9,$4.24,18.37
2019-06-30,71.69,$4.21,17.03
2019-03-31,68.74,$4.35,15.8
2018-12-31,61.4,$4.41,13.92
2018-09-30,60.63,$4.98,12.18
2018-06-30,61.5,$5.07,12.13
2018-03-31,60.88,$5.04,12.08
2017-12-31,65.75,$4.94,13.31
2017-09-30,61.96,$4.00,15.49
2017-06-30,61.56,$4.14,14.87
2017-03-31,58.64,$4.34,13.51
2016-12-31,55.13,$4.12,13.38
2016-09-30,55.8,$4.04,13.81
2016-06-30,59.09,$3.87,15.27
2016-03-31,55.78,$3.84,14.53
2015-12-31,46.35,$4.05,11.44
2015-09-30,47.71,$3.73,12.79
2015-06-30,40.91,$3.76,10.88
2015-03-31,42.66,$3.74,11.41
2014-12-31,45.7,$3.71,12.32
2014-09-30,38.85,$4.22,9.21
2014-06-30,39.15,$4.32,9.06
2014-03-31,35.96,$4.18,8.6
2013-12-31,36.62,$3.60,10.17
2013-09-30,36.14,$3.51,10.3
2013-06-30,37.83,$3.42,11.06
2013-03-31,39.19,$3.57,10.98
2012-12-31,35.28,$3.86,9.14
2012-09-30,37.64,$3.81,9.88
2012-06-30,38.71,$3.62,10.69
2012-03-31,36.0,$3.45,10.43
2011-12-31,37.83,$3.57,10.6
2011-09-30,34.42,$3.72,9.25
2011-06-30,31.79,$3.66,8.69
2011-03-31,29.95,$3.75,7.99
2010-12-31,28.92,$3.49,8.29
2010-09-30,27.79,$3.42,8.13
2010-06-30,24.53,$3.40,7.21
2010-03-31,25.02,$3.30,7.58
2009-12-31,25.16,$3.16,7.96
