Imunon PE Ratio Historical Data,Imunon PE Ratio Historical Data,Imunon PE Ratio Historical Data,Imunon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.95,,0.0
2024-12-31,0.95,$-1.60,0.0
2024-09-30,1.06,$-1.89,0.0
2024-06-30,1.16,$-1.92,0.0
2024-03-31,1.64,$-2.02,0.0
2023-12-31,0.68,$-2.18,0.0
2023-09-30,0.98,$-3.27,0.0
2023-06-30,1.29,$-3.77,0.0
2023-03-31,1.24,$-4.03,0.0
2022-12-31,1.35,$-5.17,0.0
2022-09-30,1.68,$-3.56,0.0
2022-06-30,1.84,$-3.59,0.0
2022-03-31,5.06,$-3.62,0.0
2021-12-31,8.1,$-3.15,0.0
2021-09-30,13.87,$-3.90,0.0
2021-06-30,19.05,$-6.60,0.0
2021-03-31,20.7,$-8.40,0.0
2020-12-31,10.67,$-10.05,0.0
2020-09-30,10.98,$-10.79,0.0
2020-06-30,55.8,$-10.94,0.0
2020-03-31,13.56,$-12.59,0.0
2019-12-31,25.65,$-11.39,0.0
2019-09-30,23.1,$-5.10,0.0
2019-06-30,27.3,$-5.25,0.0
2019-03-31,29.4,$-7.80,0.0
2018-12-31,21.15,$-9.75,0.0
2018-09-30,41.55,$-14.54,0.0
2018-06-30,44.25,$-21.14,0.0
2018-03-31,33.6,$-26.09,0.0
2017-12-31,40.2,$-47.54,0.0
2017-09-30,22.5,$-87.43,0.0
2017-06-30,30.75,$-125.23,0.0
2017-03-31,60.69,$-153.28,0.0
2016-12-31,63.82,$-178.48,0.0
2016-09-30,256.2,$-188.98,0.0
2016-06-30,266.7,$-180.58,0.0
2016-03-31,306.6,$-197.38,0.0
2015-12-31,403.2,$-220.48,0.0
2015-09-30,350.7,$-237.28,0.0
2015-06-30,493.5,$-270.87,0.0
2015-03-31,560.7,$-293.97,0.0
2014-12-31,489.3,$-289.77,0.0
2014-09-30,621.6,$-262.47,0.0
2014-06-30,728.7,$-251.98,0.0
2014-03-31,707.7,$-172.18,0.0
2013-12-31,816.9,$-216.29,0.0
2013-09-30,1086.75,$-374.84,0.0
2013-06-30,963.9,$-481.95,0.0
2013-03-31,992.25,$-652.05,0.0
2012-12-31,7739.55,$-718.20,0.0
2012-09-30,5140.8,$-689.85,0.0
2012-06-30,2901.15,$-756.00,0.0
2012-03-31,1795.5,$-982.80,0.0
2011-12-31,1606.5,"$-1,067.85",0.0
2011-09-30,2362.5,"$-1,294.65",0.0
2011-06-30,3184.65,"$-1,417.50",0.0
2011-03-31,2182.95,"$-1,228.50",0.0
2010-12-31,1937.25,"$-1,436.40",0.0
2010-09-30,2872.8,"$-1,219.05",0.0
2010-06-30,2986.2,"$-1,304.10",0.0
2010-03-31,4082.4,"$-1,521.45",0.0
2009-12-31,3090.15,"$-1,379.70",0.0
