ConocoPhillips PE Ratio Historical Data,ConocoPhillips PE Ratio Historical Data,ConocoPhillips PE Ratio Historical Data,ConocoPhillips PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,102.31,,13.13
2024-12-31,99.17,$7.79,12.73
2024-09-30,104.55,$8.41,12.43
2024-06-30,112.79,$8.97,12.57
2024-03-31,124.51,$8.83,14.1
2023-12-31,112.75,$9.06,12.44
2023-09-30,115.79,$9.15,12.65
2023-06-30,99.22,$10.38,9.56
2023-03-31,93.97,$12.50,7.52
2022-12-31,110.58,$14.51,7.62
2022-09-30,94.97,$13.88,6.84
2022-06-30,81.85,$12.11,6.76
2022-03-31,90.06,$9.70,9.28
2021-12-31,64.5,$6.06,10.64
2021-09-30,60.02,$3.36,17.86
2021-06-30,53.52,$1.16,46.14
2021-03-31,46.18,$-0.15,0.0
2020-12-31,34.55,$-2.50,0.0
2020-09-30,28.01,$-1.13,0.0
2020-06-30,35.47,$2.03,17.47
2020-03-31,25.75,$3.19,8.07
2019-12-31,53.98,$6.39,8.45
2019-09-30,46.94,$7.35,6.39
2019-06-30,49.99,$6.20,8.06
2019-03-31,54.43,$6.19,8.79
2018-12-31,50.62,$5.34,9.48
2018-09-30,62.58,$5.05,12.39
2018-06-30,56.06,$3.80,14.75
2018-03-31,47.55,$-0.37,0.0
2017-12-31,43.78,$-0.50,0.0
2017-09-30,39.7,$-1.85,0.0
2017-06-30,34.66,$-3.03,0.0
2017-03-31,39.1,$-1.11,0.0
2016-12-31,39.11,$-2.91,0.0
2016-09-30,33.7,$-5.66,0.0
2016-06-30,33.6,$-5.69,0.0
2016-03-31,30.86,$-4.98,0.0
2015-12-31,35.5,$-3.58,0.0
2015-09-30,35.98,$-0.83,0.0
2015-06-30,45.45,$2.21,20.56
2015-03-31,45.56,$4.03,11.31
2014-12-31,50.0,$5.52,9.06
2014-09-30,54.85,$7.55,7.26
2014-06-30,60.92,$7.38,8.25
2014-03-31,49.56,$7.36,6.73
2013-12-31,49.24,$7.38,6.67
2013-09-30,47.98,$6.54,7.34
2013-06-30,41.33,$6.00,6.89
2013-03-31,40.63,$6.15,6.61
2012-12-31,38.76,$6.69,5.79
2012-09-30,37.78,$8.09,4.67
2012-06-30,36.49,$8.54,4.27
2012-03-31,37.66,$9.15,4.12
2011-12-31,35.78,$8.97,3.99
2011-09-30,30.79,$7.80,3.95
2011-06-30,36.24,$7.94,4.56
2011-03-31,38.15,$8.30,4.6
2010-12-31,32.25,$7.61,4.24
2010-09-30,26.95,$7.03,3.83
2010-06-30,22.8,$5.98,3.81
2010-03-31,23.52,$4.08,5.76
2009-12-31,23.23,$3.24,7.17
