Worthington Enterprises PE Ratio Historical Data,Worthington Enterprises PE Ratio Historical Data,Worthington Enterprises PE Ratio Historical Data,Worthington Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.29,,49.75
2024-11-30,40.74,$0.83,49.09
2024-08-31,45.43,$0.76,59.78
2024-05-31,56.4,$2.21,25.52
2024-02-29,61.27,$5.47,11.2
2023-11-30,70.72,$5.97,11.85
2023-08-31,73.55,$5.81,12.66
2023-05-31,54.57,$5.18,10.54
2023-02-28,58.44,$4.18,13.98
2022-11-30,54.54,$4.35,12.54
2022-08-31,48.71,$6.17,7.9
2022-05-31,44.26,$7.42,5.96
2022-02-28,53.85,$7.96,6.76
2021-11-30,45.06,$8.12,5.55
2021-08-31,54.14,$4.57,11.85
2021-05-31,61.74,$13.24,4.66
2021-02-28,59.22,$11.38,5.2
2020-11-30,47.71,$10.38,4.6
2020-08-31,38.06,$12.71,2.99
2020-05-31,27.22,$1.40,19.45
2020-02-29,28.63,$1.77,16.17
2019-11-30,34.28,$1.96,17.49
2019-08-31,30.87,$1.60,19.29
2019-05-31,30.18,$2.60,11.61
2019-02-28,34.53,$2.44,14.15
2018-11-30,36.16,$3.25,11.13
2018-08-31,40.46,$3.30,12.26
2018-05-31,41.47,$3.09,13.42
2018-02-28,38.08,$3.46,11.01
2017-11-30,35.63,$2.74,13.0
2017-08-31,42.61,$2.84,15.0
2017-05-31,35.64,$3.16,11.28
2017-02-28,41.49,$3.21,12.92
2016-11-30,47.43,$3.12,15.2
2016-08-31,35.97,$2.76,13.03
2016-05-31,31.18,$2.22,14.04
2016-02-29,25.82,$1.74,14.84
2015-11-30,25.36,$0.89,28.5
2015-08-31,20.92,$0.96,21.8
2015-05-31,22.11,$1.11,19.91
2015-02-28,21.78,$1.14,19.11
2014-11-30,30.27,$2.10,14.42
2014-08-31,32.32,$1.99,16.24
2014-05-31,32.09,$2.12,15.14
2014-02-28,31.62,$2.11,14.99
2013-11-30,33.14,$2.06,16.09
2013-08-31,26.23,$2.19,11.98
2013-05-31,27.06,$1.92,14.09
2013-02-28,22.3,$2.21,10.09
2012-11-30,18.25,$2.06,8.86
2012-08-31,16.1,$1.88,8.56
2012-05-31,12.42,$1.74,7.14
2012-02-29,12.81,$1.69,7.58
2011-11-30,13.26,$1.67,7.94
2011-08-31,12.15,$1.60,7.59
2011-05-31,16.24,$1.55,10.47
2011-02-28,14.32,$1.27,11.28
2010-11-30,11.78,$0.70,16.83
2010-08-31,10.39,$0.79,13.16
2010-05-31,10.68,$0.57,18.74
2010-02-28,11.43,$-0.02,0.0
2009-11-30,8.38,$0.22,38.09
