Co-Diagnostics PE Ratio Historical Data,Co-Diagnostics PE Ratio Historical Data,Co-Diagnostics PE Ratio Historical Data,Co-Diagnostics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.49,,0.0
2024-09-30,1.25,$-1.38,0.0
2024-06-30,1.25,$-1.26,0.0
2024-03-31,1.12,$-1.32,0.0
2023-12-31,1.33,$-1.21,0.0
2023-09-30,1.06,$-1.39,0.0
2023-06-30,1.11,$-1.23,0.0
2023-03-31,1.48,$-1.00,0.0
2022-12-31,2.52,$-0.46,0.0
2022-09-30,3.21,$0.47,6.83
2022-06-30,5.61,$0.89,6.3
2022-03-31,6.18,$1.30,4.75
2021-12-31,8.93,$1.22,7.32
2021-09-30,9.73,$1.40,6.95
2021-06-30,8.25,$1.55,5.32
2021-03-31,9.54,$1.65,5.78
2020-12-31,9.3,$1.34,6.94
2020-09-30,13.59,$0.81,16.78
2020-06-30,19.35,$0.18,107.5
2020-03-31,7.62,$-0.33,0.0
2019-12-31,0.9,$-0.37,0.0
2019-09-30,1.03,$-0.27,0.0
2019-06-30,0.8,$-0.17,0.0
2019-03-31,1.06,$-0.09,0.0
2018-12-31,1.49,0,0.0
2018-09-30,2.63,0,0.0
2018-06-30,3.88,0,0.0
