HCI PE Ratio Historical Data,HCI PE Ratio Historical Data,HCI PE Ratio Historical Data,HCI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,137.07,,15.58
2024-12-31,116.53,$8.80,13.24
2024-09-30,106.68,$11.97,8.91
2024-06-30,91.46,$12.79,7.15
2024-03-31,114.73,$9.83,11.67
2023-12-31,86.03,$7.56,11.38
2023-09-30,53.18,$4.34,12.25
2023-06-30,60.09,$-2.66,0.0
2023-03-31,51.76,$-4.98,0.0
2022-12-31,37.93,$-6.43,0.0
2022-09-30,37.17,$-6.60,0.0
2022-06-30,63.8,$-1.66,0.0
2022-03-31,63.8,$-0.38,0.0
2021-12-31,77.68,$0.28,277.44
2021-09-30,102.68,$0.62,165.61
2021-06-30,91.82,$3.04,30.2
2021-03-31,70.57,$3.88,18.19
2020-12-31,47.72,$3.20,14.91
2020-09-30,44.63,$3.67,12.16
2020-06-30,41.51,$2.70,15.37
2020-03-31,35.82,$2.52,14.22
2019-12-31,40.28,$3.27,12.32
2019-09-30,36.76,$1.50,24.51
2019-06-30,35.39,$1.77,20.0
2019-03-31,37.01,$1.79,20.68
2018-12-31,43.64,$2.08,20.98
2018-09-30,37.32,$4.17,8.95
2018-06-30,35.14,$-1.27,0.0
2018-03-31,31.97,$-1.26,0.0
2017-12-31,24.81,$-1.22,0.0
2017-09-30,31.37,$-1.89,0.0
2017-06-30,38.19,$3.65,10.46
2017-03-31,36.76,$3.43,10.72
2016-12-31,31.6,$2.88,10.97
2016-09-30,24.07,$3.46,6.96
2016-06-30,21.42,$3.07,6.98
2016-03-31,25.9,$4.29,6.04
2015-12-31,26.87,$5.90,4.55
2015-09-30,29.67,$6.15,4.82
2015-06-30,33.59,$6.67,5.04
2015-03-31,34.63,$6.13,5.65
2014-12-31,32.43,$5.36,6.05
2014-09-30,26.81,$5.37,4.99
2014-06-30,30.04,$5.27,5.7
2014-03-31,26.75,$5.28,5.07
2013-12-31,39.05,$5.65,6.91
2013-09-30,29.63,$5.53,5.36
2013-06-30,22.14,$4.67,4.74
2013-03-31,19.5,$4.01,4.86
2012-12-31,14.73,$3.08,4.78
2012-09-30,16.37,$2.51,6.52
2012-06-30,12.14,$2.51,4.84
2012-03-31,8.65,$2.09,4.14
2011-12-31,5.38,$1.33,4.04
2011-09-30,4.21,$0.98,4.3
2011-06-30,4.28,$0.96,4.46
2011-03-31,5.19,$0.83,6.25
2010-12-31,5.07,$0.81,6.26
2010-09-30,3.94,$0.65,6.06
2010-06-30,3.54,$0.51,6.94
2010-03-31,3.94,$0.74,5.32
2009-12-31,4.73,$1.51,3.13
