Silicon Motion Technology PE Ratio Historical Data,Silicon Motion Technology PE Ratio Historical Data,Silicon Motion Technology PE Ratio Historical Data,Silicon Motion Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,55.92,,21.18
2024-09-30,60.18,$2.64,22.8
2024-06-30,79.59,$2.34,34.01
2024-03-31,75.13,$1.76,42.69
2023-12-31,59.4,$1.58,37.59
2023-09-30,49.26,$1.66,29.67
2023-06-30,69.07,$2.63,26.26
2023-03-31,62.98,$3.85,16.36
2022-12-31,62.47,$5.15,12.13
2022-09-30,62.66,$6.17,10.16
2022-06-30,79.95,$6.46,12.38
2022-03-31,63.48,$6.33,10.03
2021-12-31,89.69,$5.71,15.71
2021-09-30,64.64,$4.02,16.08
2021-06-30,59.81,$3.14,19.05
2021-03-31,55.12,$2.52,21.87
2020-12-31,44.45,$2.28,19.49
2020-09-30,34.53,$2.97,11.63
2020-06-30,44.19,$2.39,18.49
2020-03-31,32.95,$2.34,14.08
2019-12-31,45.24,$1.83,24.72
2019-09-30,31.27,$1.58,19.79
2019-06-30,39.26,$2.27,17.3
2019-03-31,35.07,$2.37,14.8
2018-12-31,30.3,$2.78,10.9
2018-09-30,46.79,$2.57,18.21
2018-06-30,45.84,$2.25,20.37
2018-03-31,41.44,$2.07,20.02
2017-12-31,45.31,$2.08,21.78
2017-09-30,40.83,$2.54,16.08
2017-06-30,40.81,$2.97,13.74
2017-03-31,39.41,$3.12,12.63
2016-12-31,35.63,$3.12,11.42
2016-09-30,43.23,$2.77,15.61
2016-06-30,39.79,$2.28,17.45
2016-03-31,32.18,$1.99,16.17
2015-12-31,25.88,$1.78,14.54
2015-09-30,22.43,$1.75,12.82
2015-06-30,28.26,$1.73,16.33
2015-03-31,21.84,$1.61,13.56
2014-12-31,19.12,$1.28,14.94
2014-09-30,21.64,$1.09,19.86
2014-06-30,16.31,$0.97,16.82
2014-03-31,13.27,$0.78,17.02
2013-12-31,11.09,$0.81,13.69
2013-09-30,10.12,$0.88,11.5
2013-06-30,8.1,$1.05,7.72
2013-03-31,8.84,$1.15,7.69
2012-12-31,10.62,$1.40,7.59
2012-09-30,11.04,$1.54,7.17
2012-06-30,10.54,$1.64,6.43
2012-03-31,14.47,$1.46,9.91
2011-12-31,15.3,$1.28,11.95
2011-09-30,8.63,$0.72,11.99
2011-06-30,8.01,$0.17,47.1
2011-03-31,6.04,$0.10,60.35
2010-12-31,3.17,$-0.19,0.0
2010-09-30,4.07,$-0.62,0.0
2010-06-30,3.86,$-0.79,0.0
2010-03-31,3.34,$-1.08,0.0
2009-12-31,2.55,$-1.05,0.0
