Conagra Brands PE Ratio Historical Data,Conagra Brands PE Ratio Historical Data,Conagra Brands PE Ratio Historical Data,Conagra Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.9,,25.39
2024-11-30,27.55,$1.02,27.01
2024-08-31,30.83,$1.03,29.93
2024-05-31,29.19,$0.73,39.98
2024-02-29,27.12,$1.99,13.63
2023-11-30,27.0,$2.06,13.11
2023-08-31,28.15,$2.25,12.51
2023-05-31,32.51,$1.42,22.89
2023-02-28,33.65,$1.67,20.15
2022-11-30,34.79,$1.41,24.67
2022-08-31,31.2,$1.19,26.22
2022-05-31,29.57,$1.84,16.07
2022-02-28,31.16,$2.15,14.49
2021-11-30,26.99,$2.28,11.84
2021-08-31,28.98,$2.48,11.68
2021-05-31,33.02,$2.66,12.41
2021-02-28,29.19,$2.43,12.01
2020-11-30,31.21,$2.27,13.75
2020-08-31,32.49,$2.03,16.0
2020-05-31,29.3,$1.72,17.03
2020-02-29,22.34,$1.57,14.23
2019-11-30,24.01,$1.65,14.55
2019-08-31,23.4,$1.43,16.37
2019-05-31,21.93,$1.52,14.43
2019-02-28,19.01,$1.44,13.2
2018-11-30,26.31,$1.84,14.3
2018-08-31,29.72,$2.07,14.36
2018-05-31,29.8,$1.98,15.05
2018-02-28,28.88,$2.16,13.37
2017-11-30,29.68,$1.67,17.77
2017-08-31,25.81,$1.41,18.3
2017-05-31,30.45,$1.47,20.72
2017-02-28,32.4,$1.38,23.47
2016-11-30,28.69,$1.43,20.07
2016-08-31,28.13,$1.50,18.75
2016-05-31,27.43,$-1.77,0.0
2016-02-29,25.1,$-1.56,0.0
2015-11-30,24.28,$-4.25,0.0
2015-08-31,24.57,$-4.58,0.0
2015-05-31,22.63,$-0.61,0.0
2015-02-28,20.37,$-1.86,0.0
2014-11-30,21.12,$0.92,22.95
2014-08-31,18.48,$1.48,12.49
2014-05-31,18.39,$0.70,26.27
2014-02-28,16.04,$1.92,8.35
2013-11-30,18.49,$1.66,11.14
2013-08-31,18.81,$1.59,11.83
2013-05-31,18.61,$1.86,10.0
2013-02-28,18.71,$1.20,15.59
2012-11-30,16.25,$1.56,10.42
2012-08-31,13.54,$1.46,9.28
2012-05-31,13.43,$1.05,12.79
2012-02-29,13.89,$1.87,7.43
2011-11-30,13.25,$1.72,7.7
2011-08-31,12.69,$1.76,7.21
2011-05-31,13.09,$1.89,6.93
2011-02-28,11.81,$1.48,7.98
2010-11-30,10.85,$1.49,7.28
2010-08-31,10.79,$1.58,6.83
2010-05-31,11.99,$1.62,7.4
2010-02-28,12.03,$1.81,6.64
2009-11-30,10.82,$1.73,6.25
