Primis Financial PE Ratio Historical Data,Primis Financial PE Ratio Historical Data,Primis Financial PE Ratio Historical Data,Primis Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.12,,16.32
2024-09-30,12.18,$0.62,19.65
2024-06-30,10.48,$0.88,11.91
2024-03-31,12.17,$0.73,16.67
2023-12-31,12.66,$0.86,14.72
2023-09-30,8.15,$0.65,12.54
2023-06-30,8.42,$0.54,15.59
2023-03-31,9.63,$0.75,12.84
2022-12-31,11.85,$0.71,16.69
2022-09-30,12.13,$0.90,13.48
2022-06-30,13.53,$0.86,15.74
2022-03-31,13.78,$1.08,12.75
2021-12-31,14.72,$1.27,11.59
2021-09-30,14.06,$1.33,10.57
2021-06-30,14.75,$1.56,9.45
2021-03-31,13.96,$1.33,10.49
2020-12-31,10.98,$0.95,11.56
