Southern States Bancshares PE Ratio Historical Data,Southern States Bancshares PE Ratio Historical Data,Southern States Bancshares PE Ratio Historical Data,Southern States Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,32.3,,8.8
2024-12-31,33.31,$3.67,9.08
2024-09-30,30.73,$3.55,8.66
2024-06-30,27.14,$3.52,7.71
2024-03-31,25.92,$3.60,7.2
2023-12-31,29.28,$3.55,8.25
2023-09-30,22.59,$3.74,6.04
2023-06-30,21.1,$3.76,5.61
2023-03-31,22.55,$3.37,6.69
2022-12-31,28.95,$3.02,9.59
2022-09-30,27.25,$2.28,11.95
2022-06-30,22.4,$2.11,10.62
