CarParts PE Ratio Historical Data,CarParts PE Ratio Historical Data,CarParts PE Ratio Historical Data,CarParts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.99,,0.0
2024-09-30,0.91,$-0.54,0.0
2024-06-30,1.0,$-0.41,0.0
2024-03-31,1.62,$-0.27,0.0
2023-12-31,3.16,$-0.14,0.0
2023-09-30,4.12,$-0.14,0.0
2023-06-30,4.25,$-0.12,0.0
2023-03-31,5.34,$-0.04,0.0
2022-12-31,6.26,$-0.02,0.0
2022-09-30,5.17,$-0.01,0.0
2022-06-30,6.94,$-0.08,0.0
2022-03-31,6.7,$-0.11,0.0
2021-12-31,11.2,$-0.21,0.0
2021-09-30,15.61,$-0.18,0.0
2021-06-30,20.36,$-0.06,0.0
2021-03-31,14.28,$-0.07,0.0
2020-12-31,12.39,$-0.04,0.0
2020-09-30,10.81,$-0.67,0.0
2020-06-30,8.66,$-0.74,0.0
2020-03-31,1.75,$-0.81,0.0
2019-12-31,2.2,$-0.88,0.0
2019-09-30,1.55,$-0.31,0.0
2019-06-30,1.25,$-0.26,0.0
2019-03-31,1.01,$-0.24,0.0
2018-12-31,0.91,$-0.12,0.0
2018-09-30,1.55,$-0.11,0.0
2018-06-30,1.5,$-0.10,0.0
2018-03-31,2.05,$0.59,3.47
2017-12-31,2.52,$0.58,4.34
2017-09-30,2.89,$0.66,4.38
2017-06-30,3.23,$0.64,5.05
2017-03-31,3.35,$-0.01,0.0
2016-12-31,3.52,$0.01,352.0
2016-09-30,3.29,$0.04,82.25
2016-06-30,3.95,$0.04,98.75
2016-03-31,2.56,0,0.0
2015-12-31,2.95,$-0.03,0.0
2015-09-30,1.88,$-0.09,0.0
2015-06-30,2.2,$-0.17,0.0
2015-03-31,2.17,$-0.22,0.0
2014-12-31,2.34,$-0.22,0.0
2014-09-30,2.82,$-0.19,0.0
2014-06-30,3.61,$-0.15,0.0
2014-03-31,3.06,$-0.37,0.0
2013-12-31,2.48,$-0.48,0.0
2013-09-30,1.32,$-1.43,0.0
2013-06-30,1.15,$-1.48,0.0
2013-03-31,1.2,$-1.25,0.0
2012-12-31,1.83,$-1.17,0.0
2012-09-30,3.46,$-0.41,0.0
2012-06-30,4.18,$-0.49,0.0
2012-03-31,3.61,$-0.51,0.0
2011-12-31,4.37,$-0.49,0.0
2011-09-30,5.07,$-0.36,0.0
2011-06-30,7.66,$-0.62,0.0
2011-03-31,8.7,$-0.53,0.0
2010-12-31,8.4,$-0.47,0.0
2010-09-30,8.2,$-0.35,0.0
2010-06-30,6.0,$0.11,54.55
2010-03-31,7.52,$0.12,62.67
2009-12-31,5.2,$0.05,104.0
