Rocky Mountain Chocolate Factory PE Ratio Historical Data,Rocky Mountain Chocolate Factory PE Ratio Historical Data,Rocky Mountain Chocolate Factory PE Ratio Historical Data,Rocky Mountain Chocolate Factory PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.25,,0.0
2024-11-30,2.7,$-0.48,0.0
2024-08-31,1.85,$-0.49,0.0
2024-05-31,2.8,$-0.54,0.0
2024-02-29,4.05,$-0.41,0.0
2023-11-30,4.08,$-0.68,0.0
2023-08-31,5.06,$-0.59,0.0
2023-05-31,5.12,$-1.02,0.0
2023-02-28,5.01,$-0.91,0.0
2022-11-30,6.08,$-0.58,0.0
2022-08-31,6.66,$-0.79,0.0
2022-05-31,6.75,$-0.17,0.0
2022-02-28,7.85,$-0.06,0.0
2021-11-30,8.5,$0.23,36.96
2021-08-31,7.93,$0.55,14.42
2021-05-31,6.26,$0.53,11.81
2021-02-28,5.29,$-0.17,0.0
2020-11-30,4.27,$-0.61,0.0
2020-08-31,3.26,$-0.70,0.0
2020-05-31,4.29,$-0.56,0.0
2020-02-29,7.66,$0.16,47.88
2019-11-30,8.62,$0.31,27.82
2019-08-31,8.95,$0.32,27.96
2019-05-31,9.05,$0.30,30.18
2019-02-28,8.87,$0.29,30.58
2018-11-30,7.63,$0.31,24.6
2018-08-31,9.41,$0.44,21.39
2018-05-31,10.06,$0.47,21.4
2018-02-28,10.9,$0.51,21.37
2017-11-30,10.27,$0.55,18.68
2017-08-31,10.35,$0.59,17.55
2017-05-31,10.41,$0.59,17.64
2017-02-28,9.42,$0.57,16.52
2016-11-30,8.72,$0.86,10.14
2016-08-31,9.18,$0.76,12.07
2016-05-31,8.25,$0.73,11.31
2016-02-29,8.54,$0.73,11.69
2015-11-30,8.97,$0.54,16.61
2015-08-31,9.69,$0.62,15.63
2015-05-31,10.51,$0.63,16.68
2015-02-28,12.13,$0.62,19.56
2014-11-30,10.05,$0.63,15.95
2014-08-31,10.29,$0.59,17.44
2014-05-31,9.17,$0.61,15.04
2014-02-28,9.43,$0.69,13.66
2013-11-30,10.64,$0.48,22.17
2013-08-31,9.62,$0.29,33.16
2013-05-31,10.2,$0.26,39.21
2013-02-28,9.51,$0.24,39.61
2012-11-30,7.95,$0.43,18.49
2012-08-31,9.41,$0.63,14.93
2012-05-31,7.86,$0.64,12.28
2012-02-29,6.99,$0.62,11.28
2011-11-30,6.38,$0.59,10.82
2011-08-31,6.43,$0.61,10.55
2011-05-31,7.5,$0.62,12.09
2011-02-28,7.35,$0.62,11.86
2010-11-30,6.75,$0.63,10.72
2010-08-31,6.65,$0.61,10.9
2010-05-31,6.3,$0.60,10.5
2010-02-28,5.85,$0.57,10.27
2009-11-30,5.83,$0.55,10.6
