Lixte Biotechnology Holdings PE Ratio Historical Data,Lixte Biotechnology Holdings PE Ratio Historical Data,Lixte Biotechnology Holdings PE Ratio Historical Data,Lixte Biotechnology Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.31,,0.0
2024-09-30,1.87,$-1.73,0.0
2024-06-30,2.37,$-1.78,0.0
2024-03-31,3.38,$-2.33,0.0
2023-12-31,2.35,$-2.70,0.0
2023-09-30,2.45,$-3.29,0.0
2023-06-30,5.88,$-3.70,0.0
2023-03-31,0.83,$-3.70,0.0
2022-12-31,0.51,$-4.10,0.0
2022-09-30,0.56,$-4.60,0.0
2022-06-30,0.74,$-4.60,0.0
2022-03-31,1.23,$-4.90,0.0
2021-12-31,1.19,$-5.10,0.0
2021-09-30,2.08,$-3.60,0.0
2021-06-30,3.03,$-2.70,0.0
2021-03-31,3.29,$-1.40,0.0
2020-12-31,3.17,0,0.0
