Imperial Petroleum PE Ratio Historical Data,Imperial Petroleum PE Ratio Historical Data,Imperial Petroleum PE Ratio Historical Data,Imperial Petroleum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.59,,1.98
2024-09-30,4.15,$1.31,3.17
2024-06-30,3.88,$1.23,3.15
2024-03-31,3.13,$1.40,2.24
2023-12-31,2.64,$3.21,0.82
2023-09-30,1.58,$4.28,0.37
2023-06-30,3.08,$5.29,0.58
2023-03-31,2.9,$4.56,0.64
2022-12-31,3.62,$2.10,1.72
2022-09-30,4.88,$-4.05,0.0
