Guild Holdings PE Ratio Historical Data,Guild Holdings PE Ratio Historical Data,Guild Holdings PE Ratio Historical Data,Guild Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.72,,8.91
2024-12-31,14.11,$1.54,9.16
2024-09-30,16.63,$-1.55,0.0
2024-06-30,14.79,$0.42,35.21
2024-03-31,14.75,$0.42,35.12
2023-12-31,14.09,$-0.65,0.0
2023-09-30,10.97,$0.62,17.69
2023-06-30,11.36,$1.00,11.36
2023-03-31,10.4,$1.35,7.7
2022-12-31,10.09,$5.34,1.89
2022-09-30,9.24,$6.28,1.47
2022-06-30,10.19,$6.19,1.65
2022-03-31,10.26,$5.39,1.9
2021-12-31,14.03,$4.68,3.0
2021-09-30,12.9,$5.28,2.44
