Generation Bio PE Ratio Historical Data,Generation Bio PE Ratio Historical Data,Generation Bio PE Ratio Historical Data,Generation Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.52,,0.0
2024-12-31,1.06,$-1.66,0.0
2024-09-30,2.47,$-2.19,0.0
2024-06-30,2.82,$-2.39,0.0
2024-03-31,4.07,$-2.55,0.0
2023-12-31,1.65,$-1.96,0.0
2023-09-30,3.79,$-1.98,0.0
2023-06-30,5.5,$-2.08,0.0
2023-03-31,4.3,$-2.27,0.0
2022-12-31,3.93,$-2.35,0.0
2022-09-30,5.31,$-2.34,0.0
2022-06-30,6.56,$-2.37,0.0
2022-03-31,7.34,$-2.26,0.0
2021-12-31,7.08,$-2.11,0.0
2021-09-30,25.07,$-2.10,0.0
2021-06-30,26.9,$-2.00,0.0
2021-03-31,28.46,$-2.95,0.0
