Eastman Chemical PE Ratio Historical Data,Eastman Chemical PE Ratio Historical Data,Eastman Chemical PE Ratio Historical Data,Eastman Chemical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,89.88,,11.7
2024-12-31,91.32,$7.68,11.89
2024-09-30,110.99,$7.47,14.86
2024-06-30,96.39,$7.43,12.97
2024-03-31,97.81,$7.76,12.6
2023-12-31,86.89,$7.49,11.6
2023-09-30,73.54,$4.89,15.04
2023-06-30,79.46,$5.86,13.56
2023-03-31,79.29,$5.62,14.11
2022-12-31,75.84,$6.30,12.04
2022-09-30,65.56,$9.10,7.2
2022-06-30,82.08,$9.21,8.91
2022-03-31,101.66,$6.11,16.64
2021-12-31,108.9,$6.30,17.29
2021-09-30,90.15,$3.72,24.23
2021-06-30,103.79,$2.33,44.54
2021-03-31,97.34,$3.60,27.04
2020-12-31,88.13,$3.50,25.18
2020-09-30,68.18,$3.46,19.71
2020-06-30,60.29,$4.21,14.32
2020-03-31,39.95,$5.86,6.82
2019-12-31,67.02,$5.46,12.27
2019-09-30,61.91,$5.51,11.24
2019-06-30,64.73,$6.47,10.0
2019-03-31,62.57,$7.01,8.93
2018-12-31,59.82,$7.52,7.95
2018-09-30,77.65,$11.29,6.88
2018-06-30,80.62,$10.62,7.59
2018-03-31,84.71,$10.23,8.28
2017-12-31,73.95,$10.12,7.31
2017-09-30,71.78,$6.98,10.28
2017-06-30,66.23,$6.32,10.48
2017-03-31,63.33,$6.03,10.5
2016-12-31,58.56,$5.83,10.05
2016-09-30,52.35,$5.79,9.04
2016-06-30,52.15,$5.94,8.78
2016-03-31,55.13,$6.21,8.88
2015-12-31,51.19,$5.66,9.04
2015-09-30,48.76,$4.94,9.87
2015-06-30,61.29,$4.62,13.27
2015-03-31,51.61,$4.57,11.29
2014-12-31,56.22,$4.95,11.36
2014-09-30,59.63,$7.06,8.45
2014-06-30,64.12,$7.64,8.39
2014-03-31,63.03,$7.40,8.52
2013-12-31,58.76,$7.45,7.89
2013-09-30,56.46,$4.88,11.57
2013-06-30,50.55,$3.90,12.96
2013-03-31,50.22,$3.48,14.43
2012-12-31,48.72,$3.03,16.08
2012-09-30,40.62,$4.09,9.93
2012-06-30,35.73,$4.26,8.39
2012-03-31,36.45,$4.45,8.2
2011-12-31,27.41,$4.85,5.66
2011-09-30,23.88,$4.26,5.6
2011-06-30,35.31,$4.27,8.28
2011-03-31,34.2,$3.82,8.95
2010-12-31,28.81,$2.99,9.65
2010-09-30,25.21,$2.64,9.55
2010-06-30,18.05,$2.17,8.34
2010-03-31,21.39,$1.60,13.37
2009-12-31,20.09,$0.93,21.6
