Bone Biologics PE Ratio Historical Data,Bone Biologics PE Ratio Historical Data,Bone Biologics PE Ratio Historical Data,Bone Biologics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.82,,0.0
2024-12-31,0.94,$-4.35,0.0
2024-09-30,2.13,$-4.35,0.0
2024-06-30,1.22,$-6.86,0.0
2024-03-31,2.13,$-19.71,0.0
2023-12-31,4.52,$-73.68,0.0
2023-09-30,5.68,$-49.68,0.0
2023-06-30,11.44,$-73.63,0.0
2023-03-31,62.04,$-72.12,0.0
2022-12-31,50.33,$-33.66,0.0
2022-09-30,252.0,$-57.66,0.0
