Chegg PE Ratio Historical Data,Chegg PE Ratio Historical Data,Chegg PE Ratio Historical Data,Chegg PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.74,,0.0
2024-12-31,1.61,$-8.13,0.0
2024-09-30,1.77,$-7.98,0.0
2024-06-30,3.16,$-6.09,0.0
2024-03-31,7.57,$-0.19,0.0
2023-12-31,11.36,$-0.16,0.0
2023-09-30,8.92,$-0.24,0.0
2023-06-30,8.88,$1.15,7.72
2023-03-31,16.3,$1.32,12.35
2022-12-31,25.27,$1.34,18.86
2022-09-30,21.07,$1.48,14.24
2022-06-30,18.78,$0.30,62.6
2022-03-31,36.28,$0.44,82.45
2021-12-31,30.7,$-0.09,0.0
2021-09-30,68.02,$-0.06,0.0
2021-06-30,83.11,$-0.40,0.0
2021-03-31,85.66,$-0.52,0.0
2020-12-31,90.33,$-0.08,0.0
2020-09-30,71.44,$-0.20,0.0
2020-06-30,67.26,$-0.01,0.0
2020-03-31,35.78,$-0.11,0.0
2019-12-31,37.91,$-0.10,0.0
2019-09-30,29.95,$-0.12,0.0
2019-06-30,38.59,$-0.14,0.0
2019-03-31,38.12,$-0.15,0.0
2018-12-31,28.42,$-0.13,0.0
2018-09-30,28.43,$-0.14,0.0
2018-06-30,27.79,$-0.13,0.0
2018-03-31,20.66,$-0.16,0.0
2017-12-31,16.32,$-0.21,0.0
2017-09-30,14.84,$-0.26,0.0
2017-06-30,12.29,$-0.32,0.0
2017-03-31,8.44,$-0.36,0.0
2016-12-31,7.38,$-0.47,0.0
2016-09-30,7.09,$-0.41,0.0
2016-06-30,5.0,$-0.52,0.0
2016-03-31,4.46,$-0.54,0.0
2015-12-31,6.73,$-0.70,0.0
2015-09-30,7.21,$-0.72,0.0
2015-06-30,7.84,$-0.83,0.0
2015-03-31,7.95,$-0.81,0.0
2014-12-31,6.91,$-0.78,0.0
2014-09-30,6.24,$-3.16,0.0
