Micron Technology PE Ratio Historical Data,Micron Technology PE Ratio Historical Data,Micron Technology PE Ratio Historical Data,Micron Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,103.0,,29.68
2024-11-30,97.95,$3.47,28.23
2024-08-31,96.13,$0.68,141.37
2024-05-31,124.75,$-1.42,0.0
2024-02-29,90.34,$-3.45,0.0
2023-11-30,75.79,$-6.28,0.0
2023-08-31,69.52,$-5.34,0.0
2023-05-31,67.67,$-2.68,0.0
2023-02-28,57.26,$1.39,41.19
2022-11-30,56.96,$5.51,10.34
2022-08-31,55.73,$7.73,7.21
2022-05-31,72.65,$8.77,8.28
2022-02-28,87.31,$7.95,10.98
2021-11-30,82.44,$6.48,12.72
2021-08-31,72.23,$5.15,14.03
2021-05-31,82.47,$3.63,22.72
2021-02-28,89.71,$2.82,31.81
2020-11-30,62.82,$2.65,23.7
2020-08-31,44.6,$2.37,18.82
2020-05-31,46.96,$1.99,23.6
2020-02-29,51.51,$2.02,25.5
2019-11-30,46.56,$3.08,15.12
2019-08-31,44.37,$5.46,8.13
2019-05-31,31.96,$8.53,3.75
2019-02-28,40.07,$10.89,3.68
2018-11-30,37.79,$12.14,3.11
2018-08-31,51.48,$11.52,4.47
2018-05-31,56.44,$9.95,5.67
2018-02-28,47.84,$8.25,5.8
2017-11-30,41.55,$6.35,6.54
2017-08-31,31.33,$4.32,7.25
2017-05-31,30.16,$2.17,13.9
2017-02-28,22.97,$0.56,41.02
2016-11-30,19.14,$-0.30,0.0
2016-08-31,16.16,$-0.27,0.0
2016-05-31,12.47,$0.31,40.22
2016-02-29,10.42,$0.94,11.08
2015-11-30,15.61,$1.81,8.63
2015-08-31,16.08,$2.46,6.54
2015-05-31,27.37,$3.00,9.12
2015-02-28,30.06,$3.26,9.22
2014-11-30,35.23,$3.09,11.4
2014-08-31,31.95,$2.55,12.53
2014-05-31,28.02,$3.10,9.04
2014-02-28,23.71,$2.46,9.64
2013-11-30,20.68,$1.57,13.17
2013-08-31,13.3,$1.00,13.3
2013-05-31,11.45,$-0.75,0.0
2013-02-28,8.21,$-1.11,0.0
2012-11-30,5.85,$-1.06,0.0
2012-08-31,6.09,$-0.98,0.0
2012-05-31,5.72,$-0.88,0.0
2012-02-29,8.38,$-0.49,0.0
2011-11-30,5.87,$-0.19,0.0
2011-08-31,5.79,$0.15,38.62
2011-05-31,10.0,$0.61,16.39
2011-02-28,10.91,$1.46,7.47
2010-11-30,7.12,$1.78,4.0
2010-08-31,6.33,$1.86,3.4
2010-05-31,8.91,$1.44,6.19
2010-02-28,8.88,$0.16,55.5
2009-11-30,7.37,$-1.20,0.0
