Scilex Holding PE Ratio Historical Data,Scilex Holding PE Ratio Historical Data,Scilex Holding PE Ratio Historical Data,Scilex Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.28,,0.0
2024-09-30,0.92,$-0.83,0.0
2024-06-30,1.93,$-1.43,0.0
2024-03-31,1.59,$-1.31,0.0
2023-12-31,2.04,$-1.29,0.0
2023-09-30,1.4,$-1.04,0.0
2023-06-30,5.57,$-0.41,0.0
2023-03-31,8.2,$-0.22,0.0
2022-12-31,3.99,0,0.0
2022-09-30,10.33,0,0.0
2022-06-30,10.22,0,0.0
2022-03-31,10.18,0,0.0
2021-12-31,10.04,0,0.0
