Select Medical Holdings PE Ratio Historical Data,Select Medical Holdings PE Ratio Historical Data,Select Medical Holdings PE Ratio Historical Data,Select Medical Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.83,,10.2
2024-12-31,18.85,$1.65,11.42
2024-09-30,18.72,$2.14,8.75
2024-06-30,18.75,$2.09,8.97
2024-03-31,16.07,$2.10,7.65
2023-12-31,12.47,$1.91,6.53
2023-09-30,13.33,$1.77,7.53
2023-06-30,16.74,$1.60,10.46
2023-03-31,13.52,$1.42,9.52
2022-12-31,12.92,$1.23,10.51
2022-09-30,11.45,$1.38,8.29
2022-06-30,12.18,$1.74,7.0
2022-03-31,12.31,$2.53,4.86
2021-12-31,15.0,$2.98,5.03
2021-09-30,18.39,$3.18,5.78
2021-06-30,21.41,$3.18,6.73
2021-03-31,17.22,$2.35,7.33
2020-12-31,13.97,$1.93,7.24
2020-09-30,10.51,$1.60,6.57
2020-06-30,7.44,$1.26,5.9
2020-03-31,7.57,$1.20,6.31
2019-12-31,11.78,$1.10,10.71
2019-09-30,8.37,$1.04,8.04
2019-06-30,8.01,$1.05,7.63
2019-03-31,7.11,$1.07,6.65
2018-12-31,7.75,$1.02,7.6
2018-09-30,9.29,$1.59,5.84
2018-06-30,9.16,$1.49,6.15
2018-03-31,8.71,$1.46,5.97
2017-12-31,8.91,$1.33,6.7
2017-09-30,9.69,$0.73,13.28
2017-06-30,7.75,$0.64,12.11
2017-03-31,6.74,$0.58,11.62
2016-12-31,6.69,$0.88,7.6
2016-09-30,6.82,$0.95,7.17
2016-06-30,5.49,$1.12,4.9
2016-03-31,5.96,$1.14,5.23
2015-12-31,6.01,$0.99,6.07
2015-09-30,5.45,$0.97,5.62
2015-06-30,8.18,$0.95,8.61
2015-03-31,7.49,$0.94,7.97
2014-12-31,7.22,$0.91,7.93
2014-09-30,5.99,$0.92,6.51
2014-06-30,7.71,$0.89,8.66
2014-03-31,6.11,$0.82,7.45
2013-12-31,5.64,$0.82,6.88
2013-09-30,3.88,$0.89,4.35
2013-06-30,3.89,$0.89,4.37
2013-03-31,4.22,$1.00,4.22
2012-12-31,4.42,$1.05,4.21
2012-09-30,4.57,$1.02,4.48
2012-06-30,4.12,$1.02,4.04
2012-03-31,3.13,$0.79,3.96
2011-12-31,3.45,$0.72,4.79
2011-09-30,2.72,$0.60,4.53
2011-06-30,3.61,$0.48,7.52
2011-03-31,3.28,$0.55,5.97
2010-12-31,2.98,$0.48,6.2
2010-09-30,3.13,$0.54,5.8
2010-06-30,2.76,$0.40,6.9
