CervoMed PE Ratio Historical Data,CervoMed PE Ratio Historical Data,CervoMed PE Ratio Historical Data,CervoMed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.56,,0.0
2024-09-30,14.6,$-1.23,0.0
2024-06-30,17.12,$-1.38,0.0
2024-03-31,23.3,$-2.67,0.0
2023-12-31,7.63,$-2.26,0.0
2023-09-30,4.62,$-2.26,0.0
2023-06-30,5.01,$-3.61,0.0
2023-03-31,6.23,$-5.14,0.0
2022-12-31,7.59,$-8.47,0.0
2022-09-30,8.03,$-11.47,0.0
2022-06-30,10.02,$-18.42,0.0
2022-03-31,18.75,$-18.33,0.0
2021-12-31,22.88,$-19.50,0.0
2021-09-30,38.23,$-21.00,0.0
2021-06-30,54.75,$-17.25,0.0
2021-03-31,68.82,$-21.75,0.0
2020-12-31,59.63,$-22.50,0.0
2020-09-30,63.15,$-18.00,0.0
2020-06-30,73.13,$-57.75,0.0
2020-03-31,23.75,$-97.50,0.0
2019-12-31,34.55,$-152.99,0.0
2019-09-30,138.75,$-152.99,0.0
2019-06-30,213.75,$-254.17,0.0
2019-03-31,278.25,$-263.14,0.0
2018-12-31,149.25,$-505.97,0.0
2018-09-30,485.66,$-505.97,0.0
2018-06-30,514.24,$-134.93,0.0
2018-03-31,614.25,"$-1,203.09",0.0
2017-12-31,1327.5,"$-4,025.29",0.0
2017-09-30,1867.5,"$-4,306.38",0.0
