Morgan Stanley PE Ratio Historical Data,Morgan Stanley PE Ratio Historical Data,Morgan Stanley PE Ratio Historical Data,Morgan Stanley PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,120.47,,15.17
2024-12-31,125.72,$7.94,15.83
2024-09-30,103.42,$6.57,15.74
2024-06-30,95.57,$6.07,15.74
2024-03-31,91.74,$5.49,16.71
2023-12-31,89.98,$5.17,17.4
2023-09-30,77.87,$5.58,13.96
2023-06-30,80.68,$5.67,14.23
2023-03-31,82.24,$5.82,14.13
2022-12-31,78.99,$6.14,12.87
2022-09-30,72.72,$6.89,10.56
2022-06-30,69.36,$7.40,9.37
2022-03-31,79.04,$7.86,10.06
2021-12-31,88.16,$8.03,10.98
2021-09-30,86.81,$7.83,11.09
2021-06-30,81.2,$7.51,10.81
2021-03-31,68.49,$7.62,8.99
2020-12-31,60.14,$6.44,9.34
2020-09-30,42.12,$5.93,7.1
2020-06-30,41.78,$5.54,7.54
2020-03-31,29.16,$4.81,6.06
2019-12-31,43.56,$5.19,8.39
2019-09-30,36.09,$4.69,7.69
2019-06-30,36.76,$4.59,8.01
2019-03-31,35.19,$4.66,7.55
2018-12-31,32.84,$4.72,6.96
2018-09-30,38.31,$4.21,9.1
2018-06-30,38.76,$3.97,9.76
2018-03-31,43.92,$3.54,12.41
2017-12-31,42.52,$3.09,13.76
2017-09-30,38.84,$3.61,10.76
2017-06-30,35.74,$3.49,10.24
2017-03-31,34.2,$3.37,10.15
2016-12-31,33.58,$2.92,11.5
2016-09-30,25.33,$2.50,10.13
2016-06-30,20.38,$2.17,9.39
2016-03-31,19.52,$2.27,8.6
2015-12-31,24.68,$2.90,8.51
2015-09-30,24.33,$2.98,8.16
2015-06-30,29.84,$3.34,8.94
2015-03-31,27.35,$3.43,7.97
2014-12-31,29.64,$2.99,9.91
2014-09-30,26.34,$2.59,10.17
2014-06-30,24.55,$2.20,11.16
2014-03-31,23.59,$1.67,14.13
2013-12-31,23.7,$1.42,16.69
2013-09-30,20.33,$1.60,12.71
2013-06-30,18.4,$0.60,30.66
2013-03-31,16.51,$0.48,34.4
2012-12-31,14.33,$-0.07,0.0
2012-09-30,12.51,$-0.47,0.0
2012-06-30,10.87,$1.23,8.83
2012-03-31,14.59,$0.56,26.04
2011-12-31,11.21,$1.12,10.01
2011-09-30,9.98,$1.68,5.94
2011-06-30,16.96,$0.46,36.87
2011-03-31,20.1,$1.93,10.41
2010-12-31,19.98,$2.42,8.26
2010-09-30,18.09,$2.30,7.86
2010-06-30,16.98,$2.75,6.17
2010-03-31,21.39,$0.56,38.2
2009-12-31,21.58,$-1.00,0.0
