Vivakor PE Ratio Historical Data,Vivakor PE Ratio Historical Data,Vivakor PE Ratio Historical Data,Vivakor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.94,,0.0
2024-09-30,1.54,$-0.43,0.0
2024-06-30,2.0,$-0.51,0.0
2024-03-31,0.79,$-0.49,0.0
2023-12-31,1.05,$-0.56,0.0
2023-09-30,1.02,$-1.14,0.0
2023-06-30,1.13,$-1.09,0.0
2023-03-31,1.15,$-0.99,0.0
2022-12-31,1.03,$-0.85,0.0
