Air Lease PE Ratio Historical Data,Air Lease PE Ratio Historical Data,Air Lease PE Ratio Historical Data,Air Lease PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,47.41,,14.24
2024-12-31,48.21,$3.33,14.48
2024-09-30,45.09,$4.39,10.27
2024-06-30,47.09,$4.67,10.08
2024-03-31,50.96,$4.96,10.27
2023-12-31,41.36,$5.15,8.03
2023-09-30,38.67,$4.47,8.65
2023-06-30,40.86,$4.27,9.57
2023-03-31,38.25,$4.12,9.28
2022-12-31,37.13,$-1.15,0.0
2022-09-30,29.81,$-1.12,0.0
2022-06-30,31.98,$-1.15,0.0
2022-03-31,42.5,$-1.35,0.0
2021-12-31,41.91,$3.56,11.77
2021-09-30,37.12,$3.26,11.39
2021-06-30,39.22,$3.41,11.5
2021-03-31,45.89,$3.92,11.71
2020-12-31,41.46,$4.39,9.44
2020-09-30,27.36,$4.87,5.62
2020-06-30,27.11,$5.19,5.22
2020-03-31,20.4,$5.03,4.06
2019-12-31,43.35,$5.09,8.52
2019-09-30,38.03,$4.91,7.74
2019-06-30,37.48,$4.89,7.67
2019-03-31,31.04,$4.83,6.43
2018-12-31,27.19,$4.60,5.91
2018-09-30,41.15,$7.58,5.43
2018-06-30,37.56,$7.16,5.25
2018-03-31,38.06,$7.04,5.41
2017-12-31,42.84,$6.82,6.28
2017-09-30,37.89,$3.49,10.86
2017-06-30,33.15,$3.45,9.61
2017-03-31,34.32,$3.37,10.18
2016-12-31,30.34,$3.44,8.82
2016-09-30,25.21,$3.29,7.66
2016-06-30,23.58,$3.14,7.51
2016-03-31,28.24,$3.00,9.41
2015-12-31,29.39,$2.34,12.56
2015-09-30,27.1,$2.25,12.04
2015-06-30,29.67,$2.12,14.0
2015-03-31,33.0,$2.00,16.5
2014-12-31,29.97,$2.38,12.59
2014-09-30,28.35,$2.28,12.44
2014-06-30,33.63,$2.16,15.57
2014-03-31,32.48,$1.99,16.32
2013-12-31,27.05,$1.80,15.03
2013-09-30,24.05,$1.63,14.75
2013-06-30,23.97,$1.53,15.66
2013-03-31,25.45,$1.40,18.18
2012-12-31,18.64,$1.28,14.56
2012-09-30,17.69,$1.14,15.52
2012-06-30,16.81,$0.96,17.51
2012-03-31,20.87,$0.76,27.46
