Profound Medical PE Ratio Historical Data,Profound Medical PE Ratio Historical Data,Profound Medical PE Ratio Historical Data,Profound Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.94,,0.0
2024-12-31,7.51,$-1.12,0.0
2024-09-30,7.96,$-1.34,0.0
2024-06-30,8.39,$-1.22,0.0
2024-03-31,8.53,$-1.29,0.0
2023-12-31,8.49,$-1.35,0.0
2023-09-30,10.2,$-1.39,0.0
2023-06-30,13.01,$-1.37,0.0
2023-03-31,9.29,$-1.30,0.0
2022-12-31,10.89,$-1.38,0.0
2022-09-30,4.04,$-1.41,0.0
2022-06-30,7.29,$-1.46,0.0
2022-03-31,9.0,$-1.53,0.0
2021-12-31,11.23,$-1.50,0.0
2021-09-30,14.64,$-1.39,0.0
2021-06-30,16.36,$-1.42,0.0
2021-03-31,20.14,$-1.40,0.0
2020-12-31,20.56,$-1.22,0.0
2020-09-30,17.64,$-1.17,0.0
