Gran Tierra Energy PE Ratio Historical Data,Gran Tierra Energy PE Ratio Historical Data,Gran Tierra Energy PE Ratio Historical Data,Gran Tierra Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.14,,32.13
2024-12-31,7.23,$0.16,45.19
2024-09-30,6.27,$1.43,4.38
2024-06-30,9.67,$1.59,6.08
2024-03-31,7.14,$0.10,71.4
2023-12-31,5.64,$-0.20,0.0
2023-09-30,6.94,$0.47,14.77
2023-06-30,4.91,$1.27,3.87
2023-03-31,8.79,$3.00,2.93
2022-12-31,9.9,$3.70,2.68
2022-09-30,12.1,$4.50,2.69
2022-06-30,11.5,$4.50,2.56
2022-03-31,15.7,$2.60,6.04
2021-12-31,7.61,$1.20,6.34
2021-09-30,7.39,$-1.80,0.0
2021-06-30,7.4,$-5.70,0.0
2021-03-31,7.0,$-15.30,0.0
2020-12-31,3.64,$-21.20,0.0
2020-09-30,2.32,$-19.20,0.0
2020-06-30,3.46,$-17.10,0.0
2020-03-31,2.51,$-6.00,0.0
2019-12-31,12.9,$1.00,12.9
2019-09-30,12.5,0,0.0
2019-06-30,15.9,$2.60,6.12
2019-03-31,22.7,$2.10,10.81
2018-12-31,21.7,$2.50,8.68
2018-09-30,38.2,$1.80,21.22
2018-06-30,34.5,$0.10,345.0
2018-03-31,27.9,$-0.60,0.0
2017-12-31,27.0,$-0.80,0.0
2017-09-30,22.8,$-3.40,0.0
2017-06-30,22.4,$-10.60,0.0
2017-03-31,26.4,$-11.90,0.0
2016-12-31,30.2,$-13.70,0.0
2016-09-30,30.1,$-13.00,0.0
2016-06-30,33.8,$-9.50,0.0
2016-03-31,24.7,$-9.30,0.0
2015-12-31,21.7,$-9.40,0.0
2015-09-30,21.3,$-15.90,0.0
2015-06-30,29.8,$-10.80,0.0
2015-03-31,27.3,$-9.20,0.0
2014-12-31,38.5,$-6.00,0.0
2014-09-30,55.4,$3.00,18.47
2014-06-30,81.2,$2.70,30.07
2014-03-31,74.8,$4.10,18.24
2013-12-31,73.1,$4.50,16.24
2013-09-30,70.9,$6.40,11.08
2013-06-30,60.1,$6.80,8.84
2013-03-31,58.8,$5.60,10.5
2012-12-31,55.1,$3.60,15.31
2012-09-30,51.7,$3.20,16.16
2012-06-30,49.1,$3.30,14.88
2012-03-31,62.9,$3.90,16.13
2011-12-31,48.0,$4.40,10.91
2011-09-30,47.7,$3.70,12.89
2011-06-30,66.1,$1.90,34.79
2011-03-31,80.7,$1.50,53.8
2010-12-31,80.5,$1.40,57.5
2010-09-30,77.2,$2.20,35.09
2010-06-30,49.6,$2.20,22.55
2010-03-31,59.0,$0.30,196.67
2009-12-31,57.3,$0.50,114.6
