Greenbrier PE Ratio Historical Data,Greenbrier PE Ratio Historical Data,Greenbrier PE Ratio Historical Data,Greenbrier PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,54.84,,9.57
2024-11-30,68.0,$5.73,11.87
2024-08-31,48.23,$4.97,9.7
2024-05-31,54.66,$3.82,14.31
2024-02-29,50.9,$3.40,14.97
2023-11-30,36.85,$3.34,11.03
2023-08-31,41.25,$1.87,22.06
2023-05-31,26.15,$1.70,15.38
2023-02-28,30.61,$1.15,26.62
2022-11-30,36.25,$0.56,64.73
2022-08-31,26.73,$1.39,19.23
2022-05-31,38.68,$1.74,22.23
2022-02-28,41.05,$2.24,18.33
2021-11-30,36.69,$1.58,23.22
2021-08-31,40.21,$0.96,41.89
2021-05-31,40.24,$0.01,0.0
2021-02-28,42.35,$0.25,169.42
2020-11-30,29.82,$0.94,31.72
2020-08-31,24.07,$1.47,16.38
2020-05-31,18.6,$2.53,7.35
2020-02-29,20.88,$2.16,9.67
2019-11-30,23.99,$1.83,13.11
2019-08-31,19.7,$2.14,9.2
2019-05-31,22.81,$2.02,11.29
2019-02-28,34.33,$2.57,13.36
2018-11-30,40.71,$4.40,9.25
2018-08-31,48.02,$4.69,10.24
2018-05-31,40.96,$4.50,9.1
2018-02-28,42.45,$4.52,9.39
2017-11-30,40.79,$3.70,11.03
2017-08-31,34.83,$3.66,9.52
2017-05-31,35.74,$3.97,9.0
2017-02-28,33.79,$4.06,8.32
2016-11-30,31.04,$4.38,7.09
2016-08-31,26.93,$5.74,4.69
2016-05-31,22.66,$6.70,3.38
2016-02-29,19.96,$6.91,2.89
2015-11-30,26.34,$7.07,3.73
2015-08-31,32.24,$5.93,5.44
2015-05-31,46.43,$5.34,8.69
2015-02-28,45.2,$5.04,8.97
2014-11-30,42.54,$3.97,10.72
2014-08-31,54.7,$3.45,15.86
2014-05-31,42.35,$2.66,15.92
2014-02-28,32.1,$-0.47,0.0
2013-11-30,23.85,$-0.52,0.0
2013-08-31,17.22,$-0.66,0.0
2013-05-31,17.89,$-1.04,0.0
2013-02-28,15.45,$1.67,9.25
2012-11-30,14.58,$1.79,8.15
2012-08-31,11.03,$1.92,5.74
2012-05-31,10.56,$2.08,5.08
2012-02-29,19.29,$1.33,14.5
2011-11-30,16.94,$0.74,22.89
2011-08-31,13.26,$0.15,88.41
2011-05-31,19.89,$0.06,331.43
2011-02-28,19.06,$0.43,44.33
2010-11-30,14.32,$0.17,84.21
2010-08-31,8.91,$0.09,98.94
2010-05-31,10.92,$0.13,84.0
2010-02-28,7.01,$-3.10,0.0
2009-11-30,8.19,$-3.23,0.0
