Greenlane Holdings PE Ratio Historical Data,Greenlane Holdings PE Ratio Historical Data,Greenlane Holdings PE Ratio Historical Data,Greenlane Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.46,,0.0
2024-09-30,4.9,$-12.96,0.0
2024-06-30,3.74,$-31.69,0.0
2024-03-31,5.72,$-102.53,0.0
2023-12-31,5.7,$-163.59,0.0
2023-09-30,7.81,$-275.80,0.0
2023-06-30,10.65,"$-1,512.21",0.0
2023-03-31,40.03,"$-1,689.77",0.0
2022-12-31,31.63,"$-1,993.40",0.0
2022-09-30,179.3,"$-2,079.21",0.0
2022-06-30,432.08,"$-1,723.87",0.0
2022-03-31,1232.0,"$-1,826.18",0.0
2021-12-31,2121.02,"$-2,068.21",0.0
2021-09-30,5214.0,"$-2,442.24",0.0
2021-06-30,9834.0,"$-2,310.23",0.0
2021-03-31,11671.0,"$-2,354.24",0.0
2020-12-31,8712.0,"$-2,684.27",0.0
2020-09-30,4928.0,"$-2,706.27",0.0
2020-06-30,8756.0,"$-3,344.34",0.0
2020-03-31,3784.0,"$-3,014.30",0.0
