Hillenbrand Inc PE Ratio Historical Data,Hillenbrand Inc PE Ratio Historical Data,Hillenbrand Inc PE Ratio Historical Data,Hillenbrand Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.22,,0.0
2024-12-31,30.78,$-3.14,0.0
2024-09-30,27.6,$-2.99,0.0
2024-06-30,39.41,$-2.94,0.0
2024-03-31,49.26,$1.21,40.71
2023-12-31,46.65,$7.72,6.04
2023-09-30,41.04,$8.13,5.05
2023-06-30,49.49,$8.68,5.7
2023-03-31,45.68,$8.74,5.23
2022-12-31,40.81,$2.88,14.17
2022-09-30,34.96,$2.90,12.05
2022-06-30,38.78,$2.83,13.7
2022-03-31,41.6,$2.68,15.52
2021-12-31,48.73,$2.97,16.41
2021-09-30,39.8,$3.31,12.02
2021-06-30,40.92,$2.48,16.5
2021-03-31,44.08,$2.27,19.42
2020-12-31,36.62,$0.25,146.47
2020-09-30,25.94,$-0.81,0.0
2020-06-30,24.58,$-0.33,0.0
2020-03-31,17.22,$-0.17,0.0
2019-12-31,29.64,$1.42,20.87
2019-09-30,27.3,$1.92,14.22
2019-06-30,34.75,$2.23,15.58
2019-03-31,36.28,$2.31,15.7
2018-12-31,32.97,$1.37,24.07
2018-09-30,45.23,$1.20,37.69
2018-06-30,40.61,$1.10,36.92
2018-03-31,39.36,$1.06,37.13
2017-12-31,38.16,$1.92,19.87
2017-09-30,33.01,$1.98,16.67
2017-06-30,30.5,$1.94,15.72
2017-03-31,30.12,$1.90,15.85
2016-12-31,32.04,$1.79,17.9
2016-09-30,26.29,$1.76,14.94
2016-06-30,24.8,$1.50,16.53
2016-03-31,24.56,$1.52,16.16
2015-12-31,24.13,$1.59,15.17
2015-09-30,21.03,$1.74,12.09
2015-06-30,24.63,$1.81,13.61
2015-03-31,24.61,$1.82,13.52
2014-12-31,27.32,$1.85,14.77
2014-09-30,24.31,$1.71,14.21
2014-06-30,25.51,$1.71,14.92
2014-03-31,25.13,$1.41,17.82
2013-12-31,22.72,$1.10,20.66
2013-09-30,20.99,$1.01,20.78
2013-06-30,18.05,$1.04,17.36
2013-03-31,19.09,$1.17,16.32
2012-12-31,16.94,$1.41,12.01
2012-09-30,13.5,$1.68,8.04
2012-06-30,13.51,$1.66,8.14
2012-03-31,16.69,$1.68,9.93
2011-12-31,16.1,$1.77,9.09
2011-09-30,13.15,$1.71,7.69
2011-06-30,16.74,$1.65,10.14
2011-03-31,15.09,$1.51,9.99
2010-12-31,14.47,$1.45,9.98
2010-09-30,14.81,$1.49,9.94
2010-06-30,14.6,$1.54,9.48
2010-03-31,14.88,$1.73,8.6
2009-12-31,12.64,$1.71,7.39
