Virgin Galactic Holdings PE Ratio Historical Data,Virgin Galactic Holdings PE Ratio Historical Data,Virgin Galactic Holdings PE Ratio Historical Data,Virgin Galactic Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.26,,0.0
2024-12-31,5.88,$-14.55,0.0
2024-09-30,6.1,$-17.22,0.0
2024-06-30,8.43,$-20.16,0.0
2024-03-31,29.6,$-25.00,0.0
2023-12-31,49.0,$-31.40,0.0
2023-09-30,36.0,$-37.20,0.0
2023-06-30,77.6,$-42.60,0.0
2023-03-31,81.0,$-42.00,0.0
2022-12-31,69.6,$-37.80,0.0
2022-09-30,94.2,$-33.00,0.0
2022-06-30,120.4,$-28.40,0.0
2022-03-31,197.6,$-27.60,0.0
2021-12-31,267.6,$-31.40,0.0
2021-09-30,506.0,$-31.40,0.0
2021-06-30,920.0,$-31.80,0.0
2021-03-31,612.6,$-30.00,0.0
2020-12-31,474.6,$-25.00,0.0
2020-09-30,384.6,$-26.20,0.0
2020-06-30,326.8,$-23.40,0.0
2020-03-31,295.6,$-19.80,0.0
2019-12-31,231.0,$-13.80,0.0
2019-09-30,214.0,$-6.40,0.0
2019-06-30,208.7,$-2.40,0.0
2019-03-31,203.8,$-0.40,0.0
2018-12-31,200.0,$-0.40,0.0
2018-09-30,198.2,$-0.40,0.0
2018-06-30,201.0,$-0.40,0.0
